
=== 涨幅榜前20名股票 ===

      股票代码                           公司名称  市值(亿)                            板块                           昨天收盘                          今天收盘  涨跌幅(%)
8175     CNQQF                Clean TeQ Water Ltd      0.20  Commercial Services & Supplies    2025-01-23 0.000699999975040555    2025-01-24 0.17000000178813934   24185.72
8414     GNRSQ      Greenrose Holding Company Inc      0.00                             N/A   2025-01-23 9.999999747378752e-05   2025-01-24 0.019999999552965164   19900.00
6571      NHIQ                     NantHealth Inc      0.00                     Health Care   2025-01-23 9.999999747378752e-05  2025-01-24 0.0031999999191612005    3100.00
5590      AHFI    Absolute Health and Fitness Inc      0.00                Leisure Products  2025-01-23 3.9999998989515007e-05  2025-01-24 0.0010000000474974513    2400.00
4115     RQHTF      Reliq Health Technologies Inc      0.47                     Health Care   2025-01-23 9.999999747378752e-05  2025-01-24 0.0012000000569969416    1100.00
936       DFCO             Dalrada Financial Corp      0.00        Industrial Conglomerates   2025-01-23 0.0010000000474974513   2025-01-24 0.009999999776482582     900.00
2840     SEELQ            Seelos Therapeutics Inc      0.00                 Pharmaceuticals   2025-01-23 9.999999747378752e-05  2025-01-24 0.0010000000474974513     900.00
1583      TKLS                    Trutankless Inc      0.04                        Building    2025-01-23 0.031599998474121094    2025-01-24 0.29840001463890076     844.30
8197     LBRMF   Labrador Iron Mines Holdings Ltd      0.02                 Metals & Mining    2025-01-23 0.014999999664723873    2025-01-24 0.10000000149011612     566.67
3339     BETSF                    Bit Brother Ltd      0.00                      Technology    2025-01-23 0.014999999664723873    2025-01-24 0.08100000023841858     440.00
11122     MOND                Mondee Holdings Inc      0.00   Hotels, Restaurants & Leisure   2025-01-23 0.0010000000474974513   2025-01-24 0.004999999888241291     400.00
11302     TRRI              Alzex Neuropharma Inc      0.00                 Metals & Mining     2025-01-23 0.05299999937415123     2025-01-24 0.1979999989271164     273.58
12841     LOGQ                          Coyni Inc      0.02                             N/A    2025-01-23 0.020999999716877937    2025-01-24 0.06560000032186508     212.38
6183     BGUUF                       Benguet Corp     27.79                 Metals & Mining    2025-01-23 0.019999999552965164    2025-01-24 0.05999999865889549     200.00
9585      NVNI                     Nvni Group Ltd      0.50                      Technology      2025-01-23 1.4900000095367432      2025-01-24 4.400000095367432     195.30
6796      JKSM                       Jacksam Corp      0.00                       Machinery   2025-01-23 0.0037799999117851257   2025-01-24 0.011029999703168869     191.80
7965     FSHRF  Feishang Anthracite Resources Ltd      1.66                          Energy   2025-01-23 0.0035000001080334187   2025-01-24 0.009999999776482582     185.71
11023     CLVR         Clever Leaves Holdings Inc      0.00                 Pharmaceuticals  2025-01-23 0.00019999999494757503  2025-01-24 0.0005000000237487257     150.00
1313      SHMP                  NaturalShrimp Inc      0.00                   Food Products  2025-01-23 0.00039999998989515007  2025-01-24 0.0010000000474974513     150.00
3701      ALUR          Allurion Technologies Inc      0.10   Diversified Consumer Services       2025-01-23 3.700000047683716        2025-01-24 8.6899995803833     134.86

=== 市值超过20亿的涨幅榜前20名股票 ===

      股票代码                                    公司名称   市值(亿)                              板块                         昨天收盘                        今天收盘  涨跌幅(%)
6183     BGUUF                                Benguet Corp      27.79                   Metals & Mining  2025-01-23 0.019999999552965164  2025-01-24 0.05999999865889549     200.00
7198     EUZOF                                  Eurazeo SE      57.63                Financial Services     2025-01-23 58.63999938964844                 2025-01-24 82.0      39.84
9007     REVNF                      Reinet Investments SCA      43.81                Financial Services    2025-01-23 20.507999420166016   2025-01-24 25.100000381469727      22.39
3786     COSXF                                Cosel Co Ltd     437.64              Electrical Equipment                  2025-01-23 5.75    2025-01-24 7.010000228881836      21.91
9077     GSISF                        Genesis Minerals Ltd      34.42                   Metals & Mining    2025-01-23 1.7000000476837158    2025-01-24 2.059999942779541      21.18
5053     BYDIF         BYD Electronic International Co Ltd     910.29                    Communications     2025-01-23 4.650000095367432                  2025-01-24 5.5      18.28
2491     IPCEF                                  ispace Inc     659.69               Aerospace & Defense     2025-01-23 4.135000228881836    2025-01-24 4.889999866485596      18.26
12760     MIDD                               Middleby Corp      91.30                         Machinery    2025-01-23 145.64999389648438   2025-01-24 169.72000122070312      16.53
7652     SNPTF       Sunny Optical Technology Group Co Ltd     738.41              Electrical Equipment     2025-01-23 7.599999904632568     2025-01-24 8.84000015258789      16.32
