
=== 涨幅榜前20名股票 ===

     股票代码                       公司名称  市值(亿)                            板块                           昨天收盘                           今天收盘  涨跌幅(%)
2282    SEELQ        Seelos Therapeutics Inc      0.00                 Pharmaceuticals   2025-01-23 9.999999747378752e-05   2025-01-24 0.0010000000474974513     900.00
3204    IDEXQ                 Ideanomics Inc      0.00                       Machinery   2025-01-23 0.0007999999797903001    2025-01-24 0.007199999876320362     800.00
1169     MOND            Mondee Holdings Inc      0.00   Hotels, Restaurants & Leisure   2025-01-23 0.0010000000474974513    2025-01-24 0.004999999888241291     400.00
620      NVNI                 Nvni Group Ltd      0.50                      Technology      2025-01-23 1.4900000095367432       2025-01-24 4.400000095367432     195.30
2586     ALUR      Allurion Technologies Inc      0.10   Diversified Consumer Services       2025-01-23 3.700000047683716         2025-01-24 8.6899995803833     134.86
747      SPEC         Spectaire Holdings Inc      0.00            Electrical Equipment   2025-01-23 0.0010000000474974513   2025-01-24 0.0020000000949949026     100.00
998     EGIOQ                      Edgio Inc      0.00                      Technology   2025-01-23 9.999999747378752e-05  2025-01-24 0.00019999999494757503     100.00
2312    ALLGF                      Allego NV      0.68                          Retail                    2025-01-23 0.25     2025-01-24 0.48500001430511475      94.00
3346     PRST          Presto Automation Inc      0.00            Electrical Equipment  2025-01-23 0.00019999999494757503   2025-01-24 0.0003000000142492354      50.00
2908     SMFL             Smart for Life Inc      0.00               Consumer products    2025-01-23 0.010099999606609344    2025-01-24 0.014999999664723873      48.51
2741     GOEV                      Canoo Inc      0.07                     Automobiles     2025-01-23 0.33000001311302185      2025-01-24 0.4749999940395355      43.94
612       FPH        Five Point Holdings LLC      6.17                     Real Estate       2025-01-23 4.059999942779541                    2025-01-24 5.75      41.63
4054    EUZOF                     Eurazeo SE     57.63              Financial Services       2025-01-23 58.63999938964844                    2025-01-24 82.0      39.84
2589     AXIL                AXIL Brands Inc      0.43               Consumer products       2025-01-23 4.748000144958496       2025-01-24 6.599999904632568      39.01
624      TBIO                Telesis Bio Inc      0.01  Life Sciences Tools & Services     2025-01-23 0.28999999165534973      2025-01-24 0.4000000059604645      37.93
1526     RIME        Algorhythm Holdings Inc      0.04               Consumer products    2025-01-23 0.029999999329447746     2025-01-24 0.03999999910593033      33.33
2144     ZPTA  Zapata Computing Holdings Inc      0.00                      Technology    2025-01-23 0.003000000026077032    2025-01-24 0.004000000189989805      33.33
3724     LTRN             Lantern Pharma Inc      0.58                   Biotechnology       2025-01-23 4.170000076293945       2025-01-24 5.400000095367432      29.50
1021     RNAZ     Transcode Therapeutics Inc      0.05                   Biotechnology                     2025-01-23 5.5       2025-01-24 7.039999961853027      28.00
1197     ACON                   Aclarion Inc      0.02                     Health Care      2025-01-23 0.0430000014603138    2025-01-24 0.054999999701976776      27.91

=== 市值超过20亿的涨幅榜前20名股票 ===

     股票代码                                            公司名称  市值(亿)                           板块                       昨天收盘                       今天收盘  涨跌幅(%)
4054    EUZOF                                          Eurazeo SE     57.63             Financial Services   2025-01-23 58.63999938964844                2025-01-24 82.0      39.84
1738     MIDD                                       Middleby Corp     91.30                      Machinery  2025-01-23 145.64999389648438  2025-01-24 169.72000122070312      16.53
2369     SGHC                                            SGHC Ltd     39.61  Hotels, Restaurants & Leisure   2025-01-23 6.809999942779541   2025-01-24 7.900000095367432      16.01
2142      DAN                                            Dana Inc     22.04                Auto Components  2025-01-23 13.229999542236328  2025-01-24 15.199999809265137      14.89
1006    NDRBF                                  Nibe Industrier AB    889.09                       Building                 2025-01-23 3.5   2025-01-24 4.019999980926514      14.86
3215     CTRI                                Centuri Holdings Inc     21.62                   Construction  2025-01-23 21.690000534057617   2025-01-24 24.43000030517578      12.63
37      BAIDF                                           Baidu Inc    287.30                          Media  2025-01-23 10.281000137329102  2025-01-24 11.399999618530273      10.88
1436    BRCTF                                        BioArctic AB    176.12                  Biotechnology  2025-01-23 17.850000381469727  2025-01-24 19.600000381469727       9.80
