
=== 涨幅榜前20名股票 ===

股票代码           公司名称          市值(亿)               板块                   昨天收盘          今天收盘     涨跌幅(%)
  SEELQ      Seelos Therapeutics Inc    0.00                  Pharmaceuticals    2025-01-23 0.0    2025-01-24 0.0   900.00 
  IDEXQ               Ideanomics Inc    0.00                        Machinery    2025-01-23 0.0   2025-01-24 0.01   800.00 
   MOND          Mondee Holdings Inc    0.00    Hotels, Restaurants & Leisure    2025-01-23 0.0    2025-01-24 0.0   400.00 
   NVNI               Nvni Group Ltd    0.50                       Technology   2025-01-23 1.49    2025-01-24 4.4   195.30 
   ALUR    Allurion Technologies Inc    0.10    Diversified Consumer Services    2025-01-23 3.7   2025-01-24 8.69   134.86 
  ALLGF                    Allego NV    0.68                           Retail   2025-01-23 0.25   2025-01-24 0.49    94.00 
   PRST        Presto Automation Inc    0.00             Electrical Equipment    2025-01-23 0.0    2025-01-24 0.0    50.00 
   SMFL           Smart for Life Inc    0.00                Consumer products   2025-01-23 0.01   2025-01-24 0.01    48.51 
   GOEV                    Canoo Inc    0.07                      Automobiles   2025-01-23 0.33   2025-01-24 0.47    43.94 
    FPH      Five Point Holdings LLC    6.17                      Real Estate   2025-01-23 4.06   2025-01-24 5.75    41.63 
  EUZOF                   Eurazeo SE   57.63               Financial Services  2025-01-23 58.64   2025-01-24 82.0    39.84 
   AXIL              AXIL Brands Inc    0.43                Consumer products   2025-01-23 4.75    2025-01-24 6.6    39.01 
   TBIO              Telesis Bio Inc    0.01   Life Sciences Tools & Services   2025-01-23 0.29    2025-01-24 0.4    37.93 
   RIME      Algorhythm Holdings Inc    0.04                Consumer products   2025-01-23 0.03   2025-01-24 0.04    33.33 
   LTRN           Lantern Pharma Inc    0.58                    Biotechnology   2025-01-23 4.17    2025-01-24 5.4    29.50 
   NDLS                 Noodles & Co    0.63    Hotels, Restaurants & Leisure   2025-01-23 1.09   2025-01-24 1.39    27.52 
  TCSGQ    Container Store Group Inc    0.01                           Retail   2025-01-23 0.22   2025-01-24 0.28    27.27 
    DDD              3D Systems Corp    5.22                        Machinery   2025-01-23 3.04   2025-01-24 3.85    26.64 
   NEUP   Neuphoria Therapeutics Inc    0.07                    Biotechnology   2025-01-23 3.49   2025-01-24 4.39    25.79 
   BKSY      Blacksky Technology Inc    4.60            Professional Services  2025-01-23 11.94  2025-01-24 14.96    25.29 

=== 市值超过20亿的涨幅榜前20名股票 ===

股票代码                       公司名称                      市值(亿)              板块                   昨天收盘           今天收盘      涨跌幅(%)
  EUZOF                                           Eurazeo SE    57.63             Financial Services   2025-01-23 58.64    2025-01-24 82.0    39.84 
   MIDD                                        Middleby Corp    91.30                      Machinery  2025-01-23 145.65  2025-01-24 169.72    16.53 
   SGHC                                             SGHC Ltd    39.61  Hotels, Restaurants & Leisure    2025-01-23 6.81     2025-01-24 7.9    16.01 
   CTRI                                 Centuri Holdings Inc    21.62                   Construction   2025-01-23 21.69   2025-01-24 24.43    12.63 
  BAIDF                                            Baidu Inc   287.30                          Media   2025-01-23 10.28    2025-01-24 11.4    10.88 
    RUN                                           Sunrun Inc    22.95           Electrical Equipment    2025-01-23 9.34   2025-01-24 10.23     9.53 
   IREN                                      Iris Energy Ltd    26.06                     Technology   2025-01-23 12.28   2025-01-24 13.32     8.47 
