
=== 涨幅榜前20名股票 ===

股票代码                公司名称                市值(亿)               板块                   昨天收盘          今天收盘     涨跌幅(%)
    CDT             Conduit Pharmaceuticals Inc    0.04   Life Sciences Tools & Services   2025-01-24 0.05    2025-01-27 3.3   7233.33
   BNGO                    Bionano Genomics Inc    0.14   Life Sciences Tools & Services   2025-01-24 0.12   2025-01-27 5.82   4750.00
   GITS                     Hanryu Holdings Inc    0.08                            Media    2025-01-24 0.1   2025-01-27 3.05   3044.33
    IVP         Inspire Veterinary Partners Inc    0.04                      Health Care   2025-01-24 0.12    2025-01-27 3.1   2527.12
    HAO             Haoxi Health Technology Ltd    0.94                            Media    2025-01-24 0.1   2025-01-27 2.51   2336.89
   AKRO                  Akero Therapeutics Inc   18.27                    Biotechnology  2025-01-24 26.18  2025-01-27 51.71     97.52
   ORKT              Orangekloud Technology Inc    0.60                       Technology   2025-01-24 0.69   2025-01-27 1.32     91.30
  PONGF                                Atari SA    0.55                            Media   2025-01-24 0.14    2025-01-27 0.2     48.15
   YIBO          Planet Image International Ltd    1.66   Commercial Services & Supplies   2025-01-24 2.15   2025-01-27 3.08     43.26
    SLS          Sellas Life Sciences Group Inc    0.99                    Biotechnology   2025-01-24 1.01   2025-01-27 1.41     39.60
   ONCO                           Onconetix Inc    0.05                    Biotechnology   2025-01-24 0.48   2025-01-27 0.64     34.06
   YYAI         Connexa Sports Technologies Inc    0.09                 Leisure Products   2025-01-24 0.45    2025-01-27 0.6     33.95
  SPIEF                       SPI Energy Co Ltd    0.06                   Semiconductors   2025-01-24 0.16   2025-01-27 0.21     29.57
   ETNB                               89Bio Inc   10.58                    Biotechnology   2025-01-24 7.13    2025-01-27 9.0     26.23
   YHGJ                   Yunhong Green CTI Ltd    0.19                Consumer products    2025-01-24 0.6   2025-01-27 0.75     25.20
   LGTY     Logility Supply Chain Solutions Inc    4.76                       Technology  2025-01-24 11.32  2025-01-27 14.12     24.73
