
=== 涨幅榜前20名股票 ===

股票代码                 公司名称                 市值(亿)                板块                    昨天收盘          今天收盘     涨跌幅(%)
  NTBLQ                          Notable Labs Ltd   0.00                       Biotechnology    2025-01-29 0.0   2025-01-30 0.02  19800.00
   FOXX             Foxx Development Holdings Inc   0.21                          Technology   2025-01-29 2.89   2025-01-30 6.39    121.11
  NCNCF                             noco-noco Inc   0.01                Electrical Equipment    2025-01-29 0.0   2025-01-30 0.01    120.00
   BHIL                           Benson Hill Inc   0.11                       Food Products    2025-01-29 1.8   2025-01-30 3.95    119.44
   TECX                  Tectonic Therapeutic Inc   3.79                       Biotechnology  2025-01-29 25.72  2025-01-30 54.84    113.22
   AMOD                  Insight Acquisition Corp   0.21                                 N/A   2025-01-29 1.54   2025-01-30 3.14    103.90
   DOMH                     Dominari Holdings Inc   0.14                  Financial Services   2025-01-29 2.27   2025-01-30 3.58     57.71
   NAOV                          Nanovibronix Inc   0.01                         Health Care   2025-01-29 0.38   2025-01-30 0.59     53.65
   SPGC                    Sacks Parente Golf Inc   0.05                    Leisure Products   2025-01-29 0.59    2025-01-30 0.9     52.78
   ZAPP          Zapp Electric Vehicles Group Ltd   0.04                         Automobiles   2025-01-29 1.03   2025-01-30 1.41     36.89
   MINM                                 Minim Inc   0.01                      Communications   2025-01-29 0.22   2025-01-30 0.28     27.64
     JL                          J-Long Group Ltd   0.14                        Distributors   2025-01-29 4.37   2025-01-30 5.55     27.00
   LTBR                          Lightbridge Corp   1.10                              Energy   2025-01-29 6.95   2025-01-30 8.76     26.04
   HYZN                          Hyzon Motors Inc   0.04                           Machinery   2025-01-29 0.51   2025-01-30 0.64     24.98
   CASK   Heritage Distilling Holding Company Inc   0.11                           Beverages   2025-01-29 1.06    2025-01-30 1.3     22.63
   CREV                     Carbon Revolution PLC   0.06                     Auto Components    2025-01-29 3.2   2025-01-30 3.91     22.19
   GLST               Global Star Acquisition Inc   0.39                                 N/A   2025-01-29 11.9   2025-01-30 14.5     21.85
