
=== 涨幅榜前20名股票 ===

股票代码                公司名称               市值(亿)              板块                  昨天收盘          今天收盘     涨跌幅(%)
  NTBLQ                       Notable Labs Ltd    0.00                   Biotechnology   2025-01-30 0.0   2025-01-31 0.02  19800.00
   REBN                      Reborn Coffee Inc    0.13                          Retail  2025-01-30 2.03    2025-01-31 3.3     62.56
   SOPA                       Society Pass Inc    0.05                           Media  2025-01-30 0.98   2025-01-31 1.52     54.47
   CYCN             Cyclerion Therapeutics Inc    0.10                   Biotechnology  2025-01-30 2.54   2025-01-31 3.92     54.33
    SGN                 Signing Day Sports Inc    0.03                      Technology  2025-01-30 2.56   2025-01-31 3.78     47.66
   CLEU   China Liberal Education Holdings Ltd    0.05   Diversified Consumer Services  2025-01-30 0.15    2025-01-31 0.2     35.14
   INKT                  Mink Therapeutics Inc    0.32                   Biotechnology  2025-01-30 6.89   2025-01-31 9.16     32.95
   EVTV                Envirotech Vehicles Inc    0.07                     Automobiles  2025-01-30 0.35   2025-01-31 0.45     30.84
    ICU           SeaStar Medical Holding Corp    0.09                     Health Care  2025-01-30 1.73   2025-01-31 2.24     29.48
   RIME                Algorhythm Holdings Inc    0.03               Consumer products  2025-01-30 0.02   2025-01-31 0.03     28.00
   ORKT             Orangekloud Technology Inc    0.40                      Technology  2025-01-30 1.37   2025-01-31 1.73     26.28
   NLSP                   NLS Pharmaceutics AG    0.06                 Pharmaceuticals  2025-01-30 1.98   2025-01-31 2.49     25.76
   ALPP                  Alpine 4 Holdings Inc    0.00            Electrical Equipment   2025-01-30 0.0    2025-01-31 0.0     25.00
    NXU                               NXU Inc.    0.08                          Retail  2025-01-30 0.24    2025-01-31 0.3     24.12
   CIFR                      Cipher Mining Inc   20.73                      Technology   2025-01-30 4.7   2025-01-31 5.73     21.91
    SLS         Sellas Life Sciences Group Inc    1.05                   Biotechnology  2025-01-30 1.33   2025-01-31 1.62     21.80
   CLDI             Calidi Biotherapeutics Inc    0.20                   Biotechnology  2025-01-30 0.63   2025-01-31 0.76     21.12
    LVO                            LiveOne Inc    1.43                           Media   2025-01-30 1.2   2025-01-31 1.45     20.83
