
=== 涨幅榜前20名股票 ===

股票代码                    公司名称                    市值(亿)               板块                   昨天收盘          今天收盘     涨跌幅(%)
  IVVD                                      Invivyd Inc    0.43                    Biotechnology   2025-01-31 0.36   2025-02-03 1.06   196.09 
  GPAK                               Gamer Pakistan Inc    0.00                            Media   2025-01-31 0.01   2025-02-03 0.01    84.62 
  UOKA                                         MDJM Ltd    0.02                      Real Estate   2025-01-31 0.13   2025-02-03 0.24    83.08 
  GHRS                                  GH Research PLC    5.51                  Pharmaceuticals   2025-01-31 10.6  2025-02-03 17.99    69.72 
  SGLY                Singularity Future Technology Ltd    0.03    Transportation Infrastructure   2025-01-31 0.69   2025-02-03 1.14    65.22 
  SOPA                                 Society Pass Inc    0.06                            Media   2025-01-31 1.52   2025-02-03 2.43    59.87 
  REBN                                Reborn Coffee Inc    0.12                           Retail    2025-01-31 3.3   2025-02-03 5.09    54.24 
  CLDI                       Calidi Biotherapeutics Inc    0.20                    Biotechnology   2025-01-31 0.76   2025-02-03 1.05    38.52 
  CYCN                       Cyclerion Therapeutics Inc    0.11                    Biotechnology   2025-01-31 3.92   2025-02-03 5.32    35.71 
   EJH            E-Home Household Service Holdings Ltd    0.06    Diversified Consumer Services   2025-01-31 0.76   2025-02-03 1.02    34.21 
  LDTC                         LeddarTech Holdings Inc.    0.29                       Technology   2025-01-31 0.78   2025-02-03 1.04    34.02 
   TGI                                Triumph Group Inc   14.50              Aerospace & Defense  2025-01-31 18.74   2025-02-03 25.1    33.94 
  ZBAI                                ATIF Holdings Ltd    0.18            Professional Services   2025-01-31 1.13    2025-02-03 1.5    32.16 
  ALPP                            Alpine 4 Holdings Inc    0.00             Electrical Equipment    2025-01-31 0.0    2025-02-03 0.0    30.00 
  HGAS                                  Global Gas Corp    0.02                        Chemicals   2025-01-31 0.22   2025-02-03 0.29    28.78 
  BHAT    Blue Hat Interactive Entertainment Technology    0.09                            Media   2025-01-31 0.04   2025-02-03 0.05    28.33 
  RGLS                         Regulus Therapeutics Inc    0.66                    Biotechnology    2025-01-31 1.0   2025-02-03 1.23    23.00 
  RPID                       Rapid Micro Biosystems Inc    0.77   Life Sciences Tools & Services   2025-01-31 1.79   2025-02-03 2.19    22.35 
  BACK                                IMAC Holdings Inc    0.01                      Health Care   2025-01-31 0.62   2025-02-03 0.76    22.22 
  SSYS                                    Stratasys Ltd    6.56                        Machinery   2025-01-31 9.31  2025-02-03 11.31    21.48 

=== 市值超过20亿的涨幅榜前20名股票 ===

股票代码             公司名称            市值(亿)                板块                    昨天收盘           今天收盘      涨跌幅(%)
  BLBLF                     Bilibili Inc   70.45                              Media   2025-01-31 14.35   2025-02-03 16.67    16.17 
   IDXX           IDEXX Laboratories Inc  345.59                        Health Care  2025-01-31 422.05  2025-02-03 469.04    11.13 
   OKLO                         Oklo Inc   50.80                          Utilities   2025-01-31 41.61   2025-02-03 45.93    10.38 
   PTCT             PTC Therapeutics Inc   35.39                      Biotechnology   2025-01-31 45.88   2025-02-03 50.01     9.00 
    EQX                Equinox Gold Corp   27.64                    Metals & Mining    2025-01-31 6.07    2025-02-03 6.57     8.24 
   MMYT                   MakeMyTrip Ltd  119.96      Hotels, Restaurants & Leisure  2025-01-31 109.27  2025-02-03 118.23     8.20 
   FTAI                FTAI Aviation Ltd  103.09   Trading Companies & Distributors  2025-01-31 100.53   2025-02-03 108.2     7.63 
    TEM                    Tempus AI Inc   90.36     Life Sciences Tools & Services   2025-01-31 57.39   2025-02-03 61.54     7.23 
   ASTS              AST SpaceMobile Inc   58.64                  Telecommunication   2025-01-31 20.24   2025-02-03 21.47     6.08 
    TPX   Tempur Sealy International Inc  109.64                  Consumer products   2025-01-31 63.14   2025-02-03 66.92     5.99 
    RBC                 RBC Bearings Inc  109.54                          Machinery  2025-01-31 348.75  2025-02-03 367.29     5.32 
   IONQ                         IONQ Inc   85.45                         Technology   2025-01-31 39.49   2025-02-03 41.47     5.01 
     VG               Venture Global Inc  494.80                             Energy   2025-01-31 20.45   2025-02-03 21.44     4.84 
    MOH            Molina Healthcare Inc  177.55                        Health Care  2025-01-31 310.41  2025-02-03 325.36     4.82 
   HIMS           Hims & Hers Health Inc   81.45                        Health Care   2025-01-31 37.28   2025-02-03 38.93     4.43 
     FN                         Fabrinet   78.41               Electrical Equipment  2025-01-31 216.21   2025-02-03 225.6     4.34 
     DV        DoubleVerify Holdings Inc   34.86                         Technology   2025-01-31 20.61   2025-02-03 21.48     4.22 
    TLN                Talen Energy Corp  112.76                          Utilities  2025-01-31 221.73  2025-02-03 230.85     4.11 
    EAT        Brinker International Inc   80.81      Hotels, Restaurants & Leisure  2025-01-31 181.97  2025-02-03 189.14     3.94 
   MSTR                Microstrategy Inc  841.24                         Technology  2025-01-31 334.79  2025-02-03 347.09     3.67 

=== 市值超过50亿的涨幅榜前20名股票 ===

股票代码             公司名称            市值(亿)                板块                    昨天收盘           今天收盘      涨跌幅(%)
  BLBLF                     Bilibili Inc    70.45                             Media   2025-01-31 14.35   2025-02-03 16.67    16.17 
   IDXX           IDEXX Laboratories Inc   345.59                       Health Care  2025-01-31 422.05  2025-02-03 469.04    11.13 
   OKLO                         Oklo Inc    50.80                         Utilities   2025-01-31 41.61   2025-02-03 45.93    10.38 
   MMYT                   MakeMyTrip Ltd   119.96     Hotels, Restaurants & Leisure  2025-01-31 109.27  2025-02-03 118.23     8.20 
   FTAI                FTAI Aviation Ltd   103.09  Trading Companies & Distributors  2025-01-31 100.53   2025-02-03 108.2     7.63 
    TEM                    Tempus AI Inc    90.36    Life Sciences Tools & Services   2025-01-31 57.39   2025-02-03 61.54     7.23 
   ASTS              AST SpaceMobile Inc    58.64                 Telecommunication   2025-01-31 20.24   2025-02-03 21.47     6.08 
    TPX   Tempur Sealy International Inc   109.64                 Consumer products   2025-01-31 63.14   2025-02-03 66.92     5.99 
    RBC                 RBC Bearings Inc   109.54                         Machinery  2025-01-31 348.75  2025-02-03 367.29     5.32 
   IONQ                         IONQ Inc    85.45                        Technology   2025-01-31 39.49   2025-02-03 41.47     5.01 
     VG               Venture Global Inc   494.80                            Energy   2025-01-31 20.45   2025-02-03 21.44     4.84 
    MOH            Molina Healthcare Inc   177.55                       Health Care  2025-01-31 310.41  2025-02-03 325.36     4.82 
   HIMS           Hims & Hers Health Inc    81.45                       Health Care   2025-01-31 37.28   2025-02-03 38.93     4.43 
     FN                         Fabrinet    78.41              Electrical Equipment  2025-01-31 216.21   2025-02-03 225.6     4.34 
    TLN                Talen Energy Corp   112.76                         Utilities  2025-01-31 221.73  2025-02-03 230.85     4.11 
    EAT        Brinker International Inc    80.81     Hotels, Restaurants & Leisure  2025-01-31 181.97  2025-02-03 189.14     3.94 
   MSTR                Microstrategy Inc   841.24                        Technology  2025-01-31 334.79  2025-02-03 347.09     3.67 
   ABBV                       AbbVie Inc  3249.77                     Biotechnology   2025-01-31 183.9  2025-02-03 190.14     3.39 
