
=== 涨幅榜前20名股票 ===

股票代码              公司名称              市值(亿)               板块                   昨天收盘          今天收盘     涨跌幅(%)
   IVVD                         Invivyd Inc    1.51                    Biotechnology   2025-02-04 1.25   2025-02-05 2.11    68.80 
   RFAC                 RF Acquisition Corp    0.33                              N/A   2025-02-04 6.01   2025-02-05 8.74    45.42 
   RNAZ          Transcode Therapeutics Inc    0.07                    Biotechnology   2025-02-04 6.16   2025-02-05 8.94    45.13 
   BBAI             BigBear.ai Holdings Inc   18.26                       Technology   2025-02-04 4.91   2025-02-05 7.11    44.81 
   ASST                  Asset Entities Inc    0.10                            Media   2025-02-04 0.55   2025-02-05 0.79    43.90 
   CPIX      Cumberland Pharmaceuticals Inc    0.68                  Pharmaceuticals   2025-02-04 3.76   2025-02-05 5.08    35.11 
   CELU                      Celularity Inc    0.50                    Biotechnology   2025-02-04 1.99   2025-02-05 2.65    33.17 
   RPID          Rapid Micro Biosystems Inc    1.10   Life Sciences Tools & Services   2025-02-04 2.29   2025-02-05 3.03    32.31 
   KTTA          Pasithea Therapeutics Corp    0.03                    Biotechnology   2025-02-04 2.08   2025-02-05 2.74    31.73 
   ZNTL        Zentalis Pharmaceuticals Inc    1.34                    Biotechnology   2025-02-04 1.63   2025-02-05 2.14    31.29 
  INRLF                          Valneva SE    4.29                    Biotechnology   2025-02-04 2.48   2025-02-05 3.24    30.65 
   LFLY                 Leafly Holdings Inc    0.01                            Media    2025-02-04 0.3   2025-02-05 0.39    29.00 
   MINM                           Minim Inc    0.01                   Communications   2025-02-04 0.33   2025-02-05 0.42    26.64 
   ALPP               Alpine 4 Holdings Inc    0.00             Electrical Equipment    2025-02-04 0.0    2025-02-05 0.0    25.00 
   LAES                         Sealsq Corp    3.37                   Semiconductors    2025-02-04 3.1   2025-02-05 3.82    23.23 
   FBYD          Falcon's Beyond Global Inc    7.52            Professional Services    2025-02-04 4.7   2025-02-05 5.79    23.19 
   OPTT        Ocean Power Technologies Inc    1.22             Electrical Equipment   2025-02-04 0.74   2025-02-05 0.91    22.96 
   ASPS   Altisource Portfolio Solutions SA    0.21                      Real Estate   2025-02-04 0.71   2025-02-05 0.87    22.54 
   HYPR                       Hyperfine Inc    1.14                      Health Care   2025-02-04 1.33   2025-02-05 1.62    21.80 
   GRAL                           Grail Inc   10.73                    Biotechnology  2025-02-04 28.28  2025-02-05 34.39    21.61 

=== 市值超过20亿的涨幅榜前20名股票 ===

股票代码               公司名称              市值(亿)               板块                   昨天收盘           今天收盘      涨跌幅(%)
  MRCY                   Mercury Systems Inc    29.52             Aerospace & Defense   2025-02-04 42.09   2025-02-05 49.88    18.51 
   MAT                            Mattel Inc    69.92                Leisure Products   2025-02-04 18.07   2025-02-05 20.84    15.33 
   SKY                    Champion Homes Inc    59.18               Consumer products   2025-02-04 92.75  2025-02-05 105.27    13.50 
   NOV                               Nov Inc    63.30                          Energy   2025-02-04 14.58   2025-02-05 16.43    12.69 
   TEM                         Tempus AI Inc   110.02  Life Sciences Tools & Services   2025-02-04 61.85   2025-02-05 69.18    11.85 
   JCI    Johnson Controls International PLC   570.95                        Building   2025-02-04 77.29   2025-02-05 86.01    11.28 
