
=== 涨幅榜前20名股票 ===

股票代码            公司名称           市值(亿)                板块                    昨天收盘          今天收盘     涨跌幅(%)
   MOND            Mondee Holdings Inc    0.00      Hotels, Restaurants & Leisure    2025-02-05 0.0   2025-02-06 0.16  52066.66
   MTEM        Molecular Templates Inc    0.00                      Biotechnology    2025-02-05 0.0   2025-02-06 0.11  35633.33
   PRST          Presto Automation Inc    0.00               Electrical Equipment    2025-02-05 0.0    2025-02-06 0.0    400.00
   LTRY                Lottery.com Inc    0.06      Hotels, Restaurants & Leisure   2025-02-05 0.49   2025-02-06 1.41    187.76
   APPS            Digital Turbine Inc    2.63                         Technology   2025-02-05 2.54   2025-02-06 4.99     96.46
   LIPO    Lipella Pharmaceuticals Inc    0.03                      Biotechnology   2025-02-05 2.58   2025-02-06 4.65     80.23
   SGBX     Safe & Green Holdings Corp    0.04                       Construction   2025-02-05 0.66   2025-02-06 1.16     75.23
   MSPR               MSP Recovery Inc    0.13                        Health Care   2025-02-05 1.77   2025-02-06 2.92     64.97
  IDEXQ                 Ideanomics Inc    0.00                          Machinery   2025-02-05 0.01   2025-02-06 0.01     56.86
   TPHS     Trinity Place Holdings Inc    0.02                        Real Estate   2025-02-05 0.04   2025-02-06 0.05     43.72
   AMSC   American Superconductor Corp   10.07               Electrical Equipment  2025-02-05 25.52  2025-02-06 34.24     34.17
   MGOL                 MGO Global Inc    0.01   Textiles, Apparel & Luxury Goods   2025-02-05 0.14   2025-02-06 0.19     33.09
     EQ                  Equillium Inc    0.25                      Biotechnology   2025-02-05 0.71   2025-02-06 0.94     33.01
    CTM                  Castellum Inc    0.59                         Technology   2025-02-05 0.76    2025-02-06 1.0     30.80
   SBET           SharpLink Gaming Inc    0.02      Hotels, Restaurants & Leisure   2025-02-05 0.42   2025-02-06 0.55     30.19
   RNAZ     Transcode Therapeutics Inc    0.06                      Biotechnology   2025-02-05 8.94  2025-02-06 11.37     27.18
   AMPS                Altus Power Inc    6.13                          Utilities   2025-02-05 3.83   2025-02-06 4.87     27.15
   NIVF            NewGenIvf Group Ltd    0.01                        Health Care   2025-02-05 0.12   2025-02-06 0.16     27.13
   AZTR                     Azitra Inc    0.02                      Biotechnology    2025-02-05 0.3   2025-02-06 0.39     27.07
   GPAK             Gamer Pakistan Inc    0.00                              Media   2025-02-05 0.01   2025-02-06 0.01     27.00

=== 市值超过20亿的涨幅榜前20名股票 ===

股票代码              公司名称             市值(亿)                板块                     昨天收盘            今天收盘      涨跌幅(%)
   IDCC                   InterDigital Inc    46.25                        Technology    2025-02-05 182.5   2025-02-06 211.79    16.05 
    PBH   Prestige Consumer Healthcare Inc    37.60                   Pharmaceuticals     2025-02-05 76.1    2025-02-06 87.35    14.78 
    TPR                       Tapestry Inc   171.00  Textiles, Apparel & Luxury Goods    2025-02-05 73.38     2025-02-06 82.2    12.02 
   PTON            Peloton Interactive Inc    28.91                  Leisure Products     2025-02-05 7.58     2025-02-06 8.49    12.01 
  AMSYF                   ArcelorMittal SA   200.15                   Metals & Mining    2025-02-05 25.39     2025-02-06 28.4    11.86 
   GTES   Gates Industrial Corporation PLC    52.90                         Machinery    2025-02-05 20.77    2025-02-06 23.22    11.80 
   ZETA          Zeta Global Holdings Corp    44.59                        Technology    2025-02-05 18.78    2025-02-06 20.96    11.61 
   COHR                      Coherent Corp   139.35              Electrical Equipment     2025-02-05 90.1   2025-02-06 100.46    11.50 
     PM    Philip Morris International Inc  2036.52                           Tobacco   2025-02-05 130.98   2025-02-06 145.32    10.95 
    MKL                   Markel Group Inc   239.26                         Insurance  2025-02-05 1860.14  2025-02-06 2059.83    10.74 
   PLTR          Palantir Technologies Inc  2309.00                        Technology   2025-02-05 101.36   2025-02-06 111.28     9.79 
   ASTS                AST SpaceMobile Inc    71.59                 Telecommunication    2025-02-05 24.71    2025-02-06 27.12     9.75 
    YUM                    Yum! Brands Inc   366.28     Hotels, Restaurants & Leisure   2025-02-05 131.25   2025-02-06 144.01     9.72 
     RL                  Ralph Lauren Corp   154.67  Textiles, Apparel & Luxury Goods    2025-02-05 249.0   2025-02-06 273.14     9.69 
   YUMC             Yum China Holdings Inc   172.87     Hotels, Restaurants & Leisure    2025-02-05 45.52    2025-02-06 49.65     9.07 
   UBER              Uber Technologies Inc  1357.76                       Road & Rail    2025-02-05 64.48    2025-02-06 69.99     8.55 
   IESC                   IES Holdings Inc    44.66                      Construction   2025-02-05 223.21    2025-02-06 242.1     8.46 
   CENT            Central Garden & Pet Co    21.41                 Consumer products    2025-02-05 37.07    2025-02-06 40.16     8.34 
   SNEX                   StoneX Group Inc    35.70                Financial Services   2025-02-05 111.42   2025-02-06 120.37     8.03 
  CENTA            Central Garden & Pet Co    21.41                 Consumer products    2025-02-05 31.69    2025-02-06 34.19     7.89 

=== 市值超过50亿的涨幅榜前20名股票 ===

股票代码               公司名称               市值(亿)                板块                     昨天收盘            今天收盘      涨跌幅(%)
    TPR                          Tapestry Inc   171.00  Textiles, Apparel & Luxury Goods    2025-02-05 73.38     2025-02-06 82.2    12.02 
  AMSYF                      ArcelorMittal SA   200.15                   Metals & Mining    2025-02-05 25.39     2025-02-06 28.4    11.86 
   GTES      Gates Industrial Corporation PLC    52.90                         Machinery    2025-02-05 20.77    2025-02-06 23.22    11.80 
   COHR                         Coherent Corp   139.35              Electrical Equipment     2025-02-05 90.1   2025-02-06 100.46    11.50 
     PM       Philip Morris International Inc  2036.52                           Tobacco   2025-02-05 130.98   2025-02-06 145.32    10.95 
    MKL                      Markel Group Inc   239.26                         Insurance  2025-02-05 1860.14  2025-02-06 2059.83    10.74 
   PLTR             Palantir Technologies Inc  2309.00                        Technology   2025-02-05 101.36   2025-02-06 111.28     9.79 
   ASTS                   AST SpaceMobile Inc    71.59                 Telecommunication    2025-02-05 24.71    2025-02-06 27.12     9.75 
    YUM                       Yum! Brands Inc   366.28     Hotels, Restaurants & Leisure   2025-02-05 131.25   2025-02-06 144.01     9.72 
     RL                     Ralph Lauren Corp   154.67  Textiles, Apparel & Luxury Goods    2025-02-05 249.0   2025-02-06 273.14     9.69 
   YUMC                Yum China Holdings Inc   172.87     Hotels, Restaurants & Leisure    2025-02-05 45.52    2025-02-06 49.65     9.07 
   UBER                 Uber Technologies Inc  1357.76                       Road & Rail    2025-02-05 64.48    2025-02-06 69.99     8.55 
    XPO                               XPO Inc   158.67                       Road & Rail   2025-02-05 136.31   2025-02-06 146.91     7.78 
   SMCI              Super Micro Computer Inc   184.39                        Technology    2025-02-05 31.49    2025-02-06 33.84     7.46 
    DAR               Darling Ingredients Inc    57.34                     Food Products    2025-02-05 36.05     2025-02-06 38.5     6.80 
