
=== 涨幅榜前20名股票 ===

股票代码                    公司名称                    市值(亿)                板块                    昨天收盘           今天收盘      涨跌幅(%)
   CYN                                        CYNGN Inc    0.02                         Technology    2025-02-07 0.06    2025-02-10 0.18   207.83 
  DOMH                            Dominari Holdings Inc    0.20                 Financial Services    2025-02-07 3.22    2025-02-10 6.16    91.30 
  BNAI                     Brand Engagement Network Inc    0.16                         Technology    2025-02-07 0.41     2025-02-10 0.7    69.54 
  MGOL                                   MGO Global Inc    0.02   Textiles, Apparel & Luxury Goods    2025-02-07 0.41     2025-02-10 0.7    68.58 
  PNBK                     Patriot National Bancorp Inc    0.06                            Banking    2025-02-07 1.45    2025-02-10 2.35    62.07 
  FAAS                                    DigiAsia Corp    0.06                 Financial Services    2025-02-07 0.57    2025-02-10 0.84    47.93 
  MINM                                        Minim Inc    0.01                     Communications     2025-02-07 0.4    2025-02-10 0.58    44.82 
  BMRA                                    Biomerica Inc    0.10                        Health Care    2025-02-07 0.52    2025-02-10 0.75    44.62 
   APM                                Aptorum Group Ltd    0.09                      Biotechnology    2025-02-07 1.22    2025-02-10 1.75    43.44 
  NLSP                             NLS Pharmaceutics AG    0.05                    Pharmaceuticals    2025-02-07 1.87    2025-02-10 2.57    37.43 
   PAL                    Proficient Auto Logistics Inc    2.13                        Road & Rail    2025-02-07 7.88   2025-02-10 10.54    33.76 
  AIOT                                   PowerFleet Inc    7.87               Electrical Equipment    2025-02-07 5.95     2025-02-10 7.8    31.09 
  NOTE                          FiscalNote Holdings Inc    1.85              Professional Services    2025-02-07 1.28    2025-02-10 1.66    29.69 
  KULR                        KULR Technology Group Inc    4.86               Electrical Equipment    2025-02-07 2.03     2025-02-10 2.6    28.08 
  BHAT    Blue Hat Interactive Entertainment Technology    0.13                              Media    2025-02-07 0.05    2025-02-10 0.07    27.78 
  MNDY                                   Monday.Com Ltd  128.76                         Technology  2025-02-07 258.24  2025-02-10 326.58    26.46 
  STIM                                  Neuronetics Inc    0.98                        Health Care    2025-02-07 3.07    2025-02-10 3.86    25.73 
  COCP                             Cocrystal Pharma Inc    0.19                    Pharmaceuticals    2025-02-07 1.83    2025-02-10 2.28    24.59 
  NIXX                                        Nixxy Inc    0.32              Professional Services    2025-02-07 2.17    2025-02-10 2.68    23.50 
  SATX                       Satixfy Communications Ltd    1.06                     Communications    2025-02-07 1.25    2025-02-10 1.54    23.20 

=== 市值超过20亿的涨幅榜前20名股票 ===

股票代码                公司名称               市值(亿)          板块               昨天收盘           今天收盘      涨跌幅(%)
   MNDY                         Monday.Com Ltd   128.76             Technology  2025-02-07 258.24  2025-02-10 326.58    26.46 
   AXSM                Axsome Therapeutics Inc    51.25        Pharmaceuticals  2025-02-07 105.76  2025-02-10 127.08    20.16 
    CLF                   Cleveland-Cliffs Inc    49.59        Metals & Mining   2025-02-07 10.04   2025-02-10 11.84    17.93 
   SMCI               Super Micro Computer Inc   212.44             Technology   2025-02-07 36.28   2025-02-10 42.65    17.56 
   ASTS                    AST SpaceMobile Inc    76.81      Telecommunication   2025-02-07 26.51   2025-02-10 31.14    17.47 
    NSP                          Insperity Inc    26.02  Professional Services    2025-02-07 69.6   2025-02-10 80.88    16.21 
   ACHR                    Archer Aviation Inc    38.36    Aerospace & Defense    2025-02-07 9.02    2025-02-10 10.2    13.08 
    ROK                Rockwell Automation Inc   303.38   Electrical Equipment   2025-02-07 268.4  2025-02-10 302.34    12.65 
     LB                      LandBridge Co LLC    51.67            Real Estate   2025-02-07 65.42   2025-02-10 73.45    12.27 
   MBLY                    Mobileye Global Inc   130.34        Auto Components   2025-02-07 16.07   2025-02-10 17.97    11.82 
   RKLB                     Rocket Lab USA Inc   137.03    Aerospace & Defense   2025-02-07 27.41    2025-02-10 30.6    11.64 
    GME                          GameStop Corp   110.49                 Retail   2025-02-07 24.73   2025-02-10 27.12     9.66 
    AUR                  Aurora Innovation Inc   123.73             Technology     2025-02-07 7.2     2025-02-10 7.8     8.33 
   LUNR                 Intuitive Machines Inc    27.58    Aerospace & Defense    2025-02-07 18.4   2025-02-10 19.93     8.32 
  BABAF              Alibaba Group Holding Ltd  2440.20                 Retail    2025-02-07 12.5    2025-02-10 13.5     8.00 
   ULCC            Frontier Group Holdings Inc    21.05               Airlines    2025-02-07 9.34   2025-02-10 10.06     7.71 
