
=== 涨幅榜前20名股票 ===

股票代码                    公司名称                    市值(亿)              板块                   昨天收盘          今天收盘     涨跌幅(%)
   AIFF                        Firefly Neuroscience Inc   0.25                      Health Care    2025-02-10 3.1    2025-02-11 8.4   170.97 
   SOPA                                Society Pass Inc   0.09                            Media    2025-02-10 2.6   2025-02-11 5.73   120.38 
   OMGA                          Omega Therapeutics Inc   0.06                    Biotechnology   2025-02-10 0.11   2025-02-11 0.19    78.98 
   LTRY                                 Lottery.com Inc   0.15    Hotels, Restaurants & Leisure   2025-02-10 1.24   2025-02-11 2.21    78.23 
  AAMCF                Altisource Asset Management Corp   0.01                      Real Estate    2025-02-10 0.3    2025-02-11 0.5    66.67 
  LILMF                                       Lilium NV   0.77              Aerospace & Defense   2025-02-10 0.12   2025-02-11 0.18    49.59 
   ATGL                      Alpha Technology Group Ltd   2.67                       Technology   2025-02-10 17.5  2025-02-11 25.56    46.06 
   GLST                     Global Star Acquisition Inc   0.26                              N/A   2025-02-10 7.82   2025-02-11 11.2    43.13 
   LIPO                     Lipella Pharmaceuticals Inc   0.04                    Biotechnology   2025-02-10 3.05   2025-02-11 4.32    41.64 
  IDEXQ                                  Ideanomics Inc   0.00                        Machinery   2025-02-10 0.01   2025-02-11 0.01    40.85 
   CAUD                         Collective Audience Inc   0.01                            Media   2025-02-10 0.03   2025-02-11 0.05    36.36 
   OCEA                            Ocean Biomedical Inc   0.05                    Biotechnology   2025-02-10 0.15    2025-02-11 0.2    35.14 
   NKLA                                     Nikola Corp   0.42                        Machinery    2025-02-10 0.5   2025-02-11 0.67    33.11 
   BHAT   Blue Hat Interactive Entertainment Technology   0.17                            Media   2025-02-10 0.07   2025-02-11 0.09    31.45 
   SLQT                                 SelectQuote Inc   7.51                        Insurance   2025-02-10 4.38   2025-02-11 5.73    30.82 
   ATEX                                     Anterix Inc   5.31                Telecommunication  2025-02-10 28.52  2025-02-11 36.16    26.79 
   HPCO                                 Hempacco Co Inc   0.00                          Tobacco    2025-02-10 0.0    2025-02-11 0.0    25.00 
   VSTE                             Vast Renewables Ltd   0.21             Electrical Equipment   2025-02-10 0.69   2025-02-11 0.86    24.64 
   GNLX                                    Genelux Corp   1.58                    Biotechnology   2025-02-10 4.57   2025-02-11 5.66    23.85 
   PITA                            Heramba Electric PLC   0.18             Electrical Equipment   2025-02-10 0.38   2025-02-11 0.47    23.68 

=== 市值超过20亿的涨幅榜前20名股票 ===

股票代码                公司名称               市值(亿)          板块               昨天收盘           今天收盘      涨跌幅(%)
  BABAF              Alibaba Group Holding Ltd  2438.87                 Retail   2025-02-10 12.18    2025-02-11 14.2    16.58 
   BHVN                           Biohaven Ltd    38.68          Biotechnology   2025-02-10 38.25   2025-02-11 42.53    11.19 
  AOMFF                              Alstom SA    93.50              Machinery   2025-02-10 20.37    2025-02-11 22.0     8.00 
   LSCC             Lattice Semiconductor Corp    75.15         Semiconductors   2025-02-10 54.47   2025-02-11 58.64     7.66 
   GOLF                 Acushnet Holdings Corp    38.81       Leisure Products   2025-02-10 63.83   2025-02-11 68.54     7.38 
    SOC                    Sable Offshore Corp    20.62                 Energy   2025-02-10 23.14   2025-02-11 24.84     7.35 
    ZIM   ZIM Integrated Shipping Services Ltd    23.31                 Marine   2025-02-10 19.37   2025-02-11 20.79     7.33 
     DD                  Dupont De Nemours Inc   318.73              Chemicals   2025-02-10 76.26   2025-02-11 81.48     6.85 
    GFS                    GlobalFoundries Inc   209.65         Semiconductors   2025-02-10 37.74    2025-02-11 40.1     6.25 
    ECL                             Ecolab Inc   696.41              Chemicals  2025-02-10 245.94  2025-02-11 261.23     6.22 
   INTC                             Intel Corp   856.04         Semiconductors   2025-02-10 19.77   2025-02-11 20.97     6.07 
    NSP                          Insperity Inc    30.24  Professional Services   2025-02-10 80.88   2025-02-11 85.49     5.70 
   LCII                         LCI Industries    25.97        Auto Components  2025-02-10 101.98  2025-02-11 107.76     5.67 
   JAZZ               Jazz Pharmaceuticals PLC    74.67        Pharmaceuticals  2025-02-10 123.51  2025-02-11 129.98     5.24 
    FLG                 Flagstar Financial Inc    51.02                Banking   2025-02-10 12.29   2025-02-11 12.92     5.13 
  ESLOF                    EssilorLuxottica SA  1231.57            Health Care  2025-02-10 280.63  2025-02-11 294.99     5.12 
   SPGI                         S&P Global Inc  1598.98     Financial Services   2025-02-10 515.3  2025-02-11 540.51     4.89 
   ALGM               Allegro Microsystems Inc    43.03         Semiconductors   2025-02-10 23.37   2025-02-11 24.49     4.79 
     KO                           Coca-Cola Co  2780.68              Beverages   2025-02-10 64.55    2025-02-11 67.6     4.73 
    PSX                            Phillips 66   510.91                 Energy  2025-02-10 123.71  2025-02-11 129.55     4.72 

=== 市值超过50亿的涨幅榜前20名股票 ===

股票代码           公司名称          市值(亿)                板块                    昨天收盘           今天收盘      涨跌幅(%)
  BABAF    Alibaba Group Holding Ltd  2438.87                            Retail   2025-02-10 12.18    2025-02-11 14.2    16.58 
  AOMFF                    Alstom SA    93.50                         Machinery   2025-02-10 20.37    2025-02-11 22.0     8.00 
   LSCC   Lattice Semiconductor Corp    75.15                    Semiconductors   2025-02-10 54.47   2025-02-11 58.64     7.66 
     DD        Dupont De Nemours Inc   318.73                         Chemicals   2025-02-10 76.26   2025-02-11 81.48     6.85 
    GFS          GlobalFoundries Inc   209.65                    Semiconductors   2025-02-10 37.74    2025-02-11 40.1     6.25 
    ECL                   Ecolab Inc   696.41                         Chemicals  2025-02-10 245.94  2025-02-11 261.23     6.22 
   INTC                   Intel Corp   856.04                    Semiconductors   2025-02-10 19.77   2025-02-11 20.97     6.07 
   JAZZ     Jazz Pharmaceuticals PLC    74.67                   Pharmaceuticals  2025-02-10 123.51  2025-02-11 129.98     5.24 
    FLG       Flagstar Financial Inc    51.02                           Banking   2025-02-10 12.29   2025-02-11 12.92     5.13 
  ESLOF          EssilorLuxottica SA  1231.57                       Health Care  2025-02-10 280.63  2025-02-11 294.99     5.12 
   SPGI               S&P Global Inc  1598.98                Financial Services   2025-02-10 515.3  2025-02-11 540.51     4.89 
     KO                 Coca-Cola Co  2780.68                         Beverages   2025-02-10 64.55    2025-02-11 67.6     4.73 
    PSX                  Phillips 66   510.91                            Energy  2025-02-10 123.71  2025-02-11 129.55     4.72 
   CALM          Cal-Maine Foods Inc    53.65                     Food Products  2025-02-10 109.41  2025-02-11 113.98     4.18 
    TEM                Tempus AI Inc   107.63    Life Sciences Tools & Services   2025-02-10 68.36   2025-02-11 71.21     4.17 
   AXSM      Axsome Therapeutics Inc    61.59                   Pharmaceuticals  2025-02-10 127.08   2025-02-11 132.2     4.03 
    OZK                     Bank Ozk    58.18                           Banking   2025-02-10 51.29    2025-02-11 53.1     3.53 
  PPRUF                    Kering SA   296.17  Textiles, Apparel & Luxury Goods  2025-02-10 251.25   2025-02-11 260.0     3.48 
    SYM                 Symbotic Inc   165.59                         Machinery   2025-02-10 28.19   2025-02-11 29.14     3.37 
    LII     Lennox International Inc   207.73                          Building  2025-02-10 583.13  2025-02-11 602.35     3.30 

=== 市值超过100亿的涨幅榜前20名股票 ===

股票代码           公司名称           市值(亿)                板块                    昨天收盘           今天收盘      涨跌幅(%)
  BABAF     Alibaba Group Holding Ltd  2438.87                            Retail   2025-02-10 12.18    2025-02-11 14.2    16.58 
     DD         Dupont De Nemours Inc   318.73                         Chemicals   2025-02-10 76.26   2025-02-11 81.48     6.85 
    GFS           GlobalFoundries Inc   209.65                    Semiconductors   2025-02-10 37.74    2025-02-11 40.1     6.25 
    ECL                    Ecolab Inc   696.41                         Chemicals  2025-02-10 245.94  2025-02-11 261.23     6.22 
   INTC                    Intel Corp   856.04                    Semiconductors   2025-02-10 19.77   2025-02-11 20.97     6.07 
  ESLOF           EssilorLuxottica SA  1231.57                       Health Care  2025-02-10 280.63  2025-02-11 294.99     5.12 
   SPGI                S&P Global Inc  1598.98                Financial Services   2025-02-10 515.3  2025-02-11 540.51     4.89 
     KO                  Coca-Cola Co  2780.68                         Beverages   2025-02-10 64.55    2025-02-11 67.6     4.73 
    PSX                   Phillips 66   510.91                            Energy  2025-02-10 123.71  2025-02-11 129.55     4.72 
    TEM                 Tempus AI Inc   107.63    Life Sciences Tools & Services   2025-02-10 68.36   2025-02-11 71.21     4.17 
  PPRUF                     Kering SA   296.17  Textiles, Apparel & Luxury Goods  2025-02-10 251.25   2025-02-11 260.0     3.48 
    SYM                  Symbotic Inc   165.59                         Machinery   2025-02-10 28.19   2025-02-11 29.14     3.37 
    LII      Lennox International Inc   207.73                          Building  2025-02-10 583.13  2025-02-11 602.35     3.30 
   MDLZ    Mondelez International Inc   757.10                     Food Products   2025-02-10 58.53   2025-02-11 60.45     3.28 
    PGR              Progressive Corp  1462.71                         Insurance  2025-02-10 249.69  2025-02-11 257.57     3.16 
    EDR   Endeavor Group Holdings Inc   229.26                             Media   2025-02-10 33.51   2025-02-11 34.56     3.13 
    DKS     DICK'S Sporting Goods Inc   192.81                            Retail  2025-02-10 236.65  2025-02-11 243.99     3.10 
   SHOP                   Shopify Inc  1549.23                        Technology   2025-02-10 119.9  2025-02-11 123.59     3.08 
  CAPMF                  Capgemini SE   298.47                        Technology  2025-02-10 178.98  2025-02-11 184.26     2.95 
    TPR                  Tapestry Inc   163.65  Textiles, Apparel & Luxury Goods   2025-02-10 79.05   2025-02-11 81.36     2.92 

=== 市值超过200亿的涨幅榜前20名股票 ===

股票代码           公司名称           市值(亿)                板块                    昨天收盘           今天收盘      涨跌幅(%)
  BABAF     Alibaba Group Holding Ltd  2438.87                            Retail   2025-02-10 12.18    2025-02-11 14.2    16.58 
     DD         Dupont De Nemours Inc   318.73                         Chemicals   2025-02-10 76.26   2025-02-11 81.48     6.85 
    GFS           GlobalFoundries Inc   209.65                    Semiconductors   2025-02-10 37.74    2025-02-11 40.1     6.25 
    ECL                    Ecolab Inc   696.41                         Chemicals  2025-02-10 245.94  2025-02-11 261.23     6.22 
   INTC                    Intel Corp   856.04                    Semiconductors   2025-02-10 19.77   2025-02-11 20.97     6.07 
  ESLOF           EssilorLuxottica SA  1231.57                       Health Care  2025-02-10 280.63  2025-02-11 294.99     5.12 
   SPGI                S&P Global Inc  1598.98                Financial Services   2025-02-10 515.3  2025-02-11 540.51     4.89 
     KO                  Coca-Cola Co  2780.68                         Beverages   2025-02-10 64.55    2025-02-11 67.6     4.73 
    PSX                   Phillips 66   510.91                            Energy  2025-02-10 123.71  2025-02-11 129.55     4.72 
  PPRUF                     Kering SA   296.17  Textiles, Apparel & Luxury Goods  2025-02-10 251.25   2025-02-11 260.0     3.48 
    LII      Lennox International Inc   207.73                          Building  2025-02-10 583.13  2025-02-11 602.35     3.30 
   MDLZ    Mondelez International Inc   757.10                     Food Products   2025-02-10 58.53   2025-02-11 60.45     3.28 
    PGR              Progressive Corp  1462.71                         Insurance  2025-02-10 249.69  2025-02-11 257.57     3.16 
    EDR   Endeavor Group Holdings Inc   229.26                             Media   2025-02-10 33.51   2025-02-11 34.56     3.13 
   SHOP                   Shopify Inc  1549.23                        Technology   2025-02-10 119.9  2025-02-11 123.59     3.08 
  CAPMF                  Capgemini SE   298.47                        Technology  2025-02-10 178.98  2025-02-11 184.26     2.95 
     EL    Estee Lauder Companies Inc   247.16                 Consumer products   2025-02-10 68.71   2025-02-11 70.71     2.91 
   CINF     Cincinnati Financial Corp   211.99                         Insurance  2025-02-10 135.62  2025-02-11 139.43     2.81 
    DVN             Devon Energy Corp   225.05                            Energy   2025-02-10 34.26   2025-02-11 35.12     2.51 
    HSY                    Hershey Co   312.58                     Food Products  2025-02-10 154.47  2025-02-11 158.26     2.45 

=== 市值超过1000亿的涨幅榜前20名股票 ===

股票代码                公司名称               市值(亿)          板块              昨天收盘           今天收盘      涨跌幅(%)
  BABAF              Alibaba Group Holding Ltd   2438.87               Retail   2025-02-10 12.18    2025-02-11 14.2    16.58 
  ESLOF                    EssilorLuxottica SA   1231.57          Health Care  2025-02-10 280.63  2025-02-11 294.99     5.12 
   SPGI                         S&P Global Inc   1598.98   Financial Services   2025-02-10 515.3  2025-02-11 540.51     4.89 
     KO                           Coca-Cola Co   2780.68            Beverages   2025-02-10 64.55    2025-02-11 67.6     4.73 
    PGR                       Progressive Corp   1462.71            Insurance  2025-02-10 249.69  2025-02-11 257.57     3.16 
   SHOP                            Shopify Inc   1549.23           Technology   2025-02-10 119.9  2025-02-11 123.59     3.08 
    COP                         Conocophillips   1286.84               Energy   2025-02-10 99.48  2025-02-11 101.71     2.24 
  CMCSA                           Comcast Corp   1303.32                Media   2025-02-10 34.47   2025-02-11 35.23     2.20 
    IBM   International Business Machines Corp   2304.86           Technology  2025-02-10 249.27   2025-02-11 254.7     2.18 
   AAPL                              Apple Inc  34197.75           Technology  2025-02-10 227.65  2025-02-11 232.62     2.18 
  TTFNF                       TotalEnergies SE   1342.78               Energy   2025-02-10 59.82    2025-02-11 61.0     1.97 
  ASMLF                        ASML Holding NV   2725.30       Semiconductors   2025-02-10 736.0   2025-02-11 750.0     1.90 
     GE                    General Electric Co   2202.61  Aerospace & Defense  2025-02-10 205.22  2025-02-11 208.82     1.75 
   ADBE                              Adobe Inc   1963.68           Technology   2025-02-10 451.1  2025-02-11 458.82     1.71 
    JPM                    JPMorgan Chase & Co   7630.70              Banking  2025-02-10 271.04  2025-02-11 274.99     1.46 
    UNP                     Union Pacific Corp   1481.27          Road & Rail  2025-02-10 244.33  2025-02-11 247.73     1.39 
     VZ             Verizon Communications Inc   1681.75    Telecommunication   2025-02-10 39.95   2025-02-11 40.49     1.35 
    JNJ                      Johnson & Johnson   3713.52      Pharmaceuticals  2025-02-10 154.24  2025-02-11 156.13     1.23 
      T                               AT&T Inc   1783.78    Telecommunication   2025-02-10 24.86   2025-02-11 25.15     1.17 
     PG                    Procter & Gamble Co   3928.33    Consumer products  2025-02-10 167.53  2025-02-11 169.43     1.13 
