
=== 涨幅榜前20名股票 ===

股票代码                公司名称                市值(亿)              板块                   昨天收盘          今天收盘     涨跌幅(%)
   ATEK   Athena Technology Acquisition Corp II    0.11                             N/A    2025-02-11 1.0    2025-02-12 5.0   400.00 
   TIVC                Tivic Health Systems Inc    0.02                     Health Care   2025-02-11 0.23    2025-02-12 0.7   197.87 
   KDLY                           Kindly MD Inc    0.08                     Health Care   2025-02-11 1.42   2025-02-12 3.28   130.66 
    XLO                  Xilio Therapeutics Inc    0.30                   Biotechnology   2025-02-11 0.66   2025-02-12 1.48   125.27 
   NKGN                       NKGen Biotech Inc    0.17                   Biotechnology   2025-02-11 0.38   2025-02-12 0.84   121.53 
   SPGC                  Sacks Parente Golf Inc    0.04                Leisure Products    2025-02-11 0.4   2025-02-12 0.74    84.99 
   AIFF                Firefly Neuroscience Inc    0.68                     Health Care    2025-02-11 8.4  2025-02-12 12.97    54.40 
   YOSH                     Yoshiharu Global Co    0.13   Hotels, Restaurants & Leisure    2025-02-11 8.8  2025-02-12 13.45    52.84 
  EGIOQ                               Edgio Inc    0.00                      Technology    2025-02-11 0.0    2025-02-12 0.0    50.00 
    GNS                        Genius Group Ltd    0.44   Diversified Consumer Services   2025-02-11 0.32   2025-02-12 0.47    48.44 
    NXU                                NXU Inc.    0.07                          Retail   2025-02-11 0.27   2025-02-12 0.41    48.21 
    YHC                           LQR House Inc    0.19                           Media   2025-02-11 0.83   2025-02-12 1.15    37.89 
   OMGA                  Omega Therapeutics Inc    0.11                   Biotechnology   2025-02-11 0.19   2025-02-12 0.26    34.72 
   LTBR                        Lightbridge Corp    1.71                          Energy  2025-02-11 10.84   2025-02-12 14.6    34.69 
   UPST                    Upstart Holdings Inc   61.43              Financial Services  2025-02-11 67.34  2025-02-12 88.77    31.82 
   ANAB                          AnaptysBio Inc    3.77                   Biotechnology  2025-02-11 12.38  2025-02-12 16.15    30.51 
   QMCO                            Quantum Corp    1.04                      Technology  2025-02-11 17.81  2025-02-12 23.23    30.43 
   INLF                               INLIF Ltd    0.67                       Machinery   2025-02-11 4.63   2025-02-12 5.99    29.37 
   APTO                  Aptose Biosciences Inc    0.11                   Biotechnology   2025-02-11 0.18   2025-02-12 0.23    27.11 
   NTRP                            NextTrip Inc    0.08                      Technology   2025-02-11 4.95   2025-02-12 6.21    25.45 

=== 市值超过20亿的涨幅榜前20名股票 ===

股票代码              公司名称             市值(亿)                板块                    昨天收盘           今天收盘      涨跌幅(%)
   UPST               Upstart Holdings Inc    61.43                Financial Services   2025-02-11 67.34   2025-02-12 88.77    31.82 
   CFLT                      Confluent Inc    98.73                        Technology    2025-02-11 30.1   2025-02-12 37.65    25.08 
   BBAI            BigBear.ai Holdings Inc    20.12                        Technology     2025-02-11 8.0    2025-02-12 9.74    21.75 
    CVS                    CVS Health Corp   692.12                       Health Care    2025-02-11 55.0   2025-02-12 63.22    14.95 
  BAIDF                          Baidu Inc   319.42                             Media    2025-02-11 10.5    2025-02-12 11.9    13.33 
   CHEF               Chefs' Warehouse Inc    21.55                            Retail   2025-02-11 54.48   2025-02-12 59.61     9.42 
  TKAYF           Just Eat Takeaway.com NV    26.35     Hotels, Restaurants & Leisure   2025-02-11 11.61   2025-02-12 12.69     9.30 
   CRSP             CRISPR Therapeutics AG    33.82                     Biotechnology   2025-02-11 39.62    2025-02-12 43.3     9.29 
    MCY               Mercury General Corp    27.74                         Insurance   2025-02-11 50.09   2025-02-12 54.74     9.28 
    DUO           Fangdd Network Group Ltd   192.75                             Media    2025-02-11 0.57    2025-02-12 0.62     8.96 
   RXRX      Recursion Pharmaceuticals Inc    29.93                     Biotechnology    2025-02-11 7.66    2025-02-12 8.34     8.88 
    GFS                GlobalFoundries Inc   222.76                    Semiconductors    2025-02-11 40.1   2025-02-12 43.55     8.60 
   OKLO                           Oklo Inc    61.15                         Utilities   2025-02-11 50.08   2025-02-12 54.38     8.59 
     ST   Sensata Technologies Holding PLC    38.59              Electrical Equipment    2025-02-11 25.8   2025-02-12 28.01     8.57 
  HINKF                        Heineken NV   384.26                         Beverages   2025-02-11 71.74   2025-02-12 77.52     8.06 
   GNRC               Generac Holdings Inc    84.33              Electrical Equipment  2025-02-11 141.74  2025-02-12 152.45     7.56 
   GILD                Gilead Sciences Inc  1198.16                     Biotechnology   2025-02-11 96.14  2025-02-12 103.31     7.46 
   INTC                         Intel Corp   908.00                    Semiconductors   2025-02-11 20.97   2025-02-12 22.48     7.20 
  PPRUF                          Kering SA   303.28  Textiles, Apparel & Luxury Goods   2025-02-11 260.0   2025-02-12 277.4     6.69 
   LCID                    Lucid Group Inc    81.01                       Automobiles    2025-02-11 2.69    2025-02-12 2.87     6.69 

=== 市值超过50亿的涨幅榜前20名股票 ===

股票代码           公司名称          市值(亿)                板块                    昨天收盘           今天收盘      涨跌幅(%)
   UPST         Upstart Holdings Inc    61.43                Financial Services   2025-02-11 67.34   2025-02-12 88.77    31.82 
   CFLT                Confluent Inc    98.73                        Technology    2025-02-11 30.1   2025-02-12 37.65    25.08 
    CVS              CVS Health Corp   692.12                       Health Care    2025-02-11 55.0   2025-02-12 63.22    14.95 
  BAIDF                    Baidu Inc   319.42                             Media    2025-02-11 10.5    2025-02-12 11.9    13.33 
    DUO     Fangdd Network Group Ltd   192.75                             Media    2025-02-11 0.57    2025-02-12 0.62     8.96 
    GFS          GlobalFoundries Inc   222.76                    Semiconductors    2025-02-11 40.1   2025-02-12 43.55     8.60 
   OKLO                     Oklo Inc    61.15                         Utilities   2025-02-11 50.08   2025-02-12 54.38     8.59 
  HINKF                  Heineken NV   384.26                         Beverages   2025-02-11 71.74   2025-02-12 77.52     8.06 
   GNRC         Generac Holdings Inc    84.33              Electrical Equipment  2025-02-11 141.74  2025-02-12 152.45     7.56 
   GILD          Gilead Sciences Inc  1198.16                     Biotechnology   2025-02-11 96.14  2025-02-12 103.31     7.46 
   INTC                   Intel Corp   908.00                    Semiconductors   2025-02-11 20.97   2025-02-12 22.48     7.20 
  PPRUF                    Kering SA   303.28  Textiles, Apparel & Luxury Goods   2025-02-11 260.0   2025-02-12 277.4     6.69 
   LCID              Lucid Group Inc    81.01                       Automobiles    2025-02-11 2.69    2025-02-12 2.87     6.69 
   RBRK                   Rubrik Inc   135.04                        Technology    2025-02-11 72.9   2025-02-12 77.55     6.38 
   HIMS       Hims & Hers Health Inc    95.21                       Health Care   2025-02-11 43.58   2025-02-12 46.34     6.33 
   UTHR     United Therapeutics Corp   157.73                     Biotechnology  2025-02-11 353.31  2025-02-12 370.74     4.93 
   LSCC   Lattice Semiconductor Corp    80.91                    Semiconductors   2025-02-11 58.64   2025-02-12 61.52     4.91 
   HOOD        Robinhood Markets Inc   471.51                Financial Services   2025-02-11 53.34   2025-02-12 55.91     4.82 
   ALKS                 Alkermes Plc    51.71                     Biotechnology   2025-02-11 31.96    2025-02-12 33.5     4.82 
    TPR                 Tapestry Inc   168.43  Textiles, Apparel & Luxury Goods   2025-02-11 81.36   2025-02-12 85.13     4.63 

