
=== 涨幅榜前20名股票 ===

股票代码             公司名称             市值(亿)                板块                    昨天收盘          今天收盘     涨跌幅(%)
   BSLK        Bolt Projects Holdings Inc    0.10                          Chemicals   2025-02-12 0.31   2025-02-13 1.23   303.28 
   MBRX             Moleculin Biotech Inc    0.01                      Biotechnology   2025-02-12 0.42   2025-02-13 1.27   202.38 
  EGIOQ                         Edgio Inc    0.00                         Technology    2025-02-12 0.0    2025-02-13 0.0   100.00 
    PEV                 Phoenix Motor Inc    0.09                        Automobiles   2025-02-12 0.25    2025-02-13 0.5    97.62 
   AMOD          Insight Acquisition Corp    0.25                                N/A   2025-02-12 1.84   2025-02-13 3.62    96.74 
   DOMH             Dominari Holdings Inc    0.44                 Financial Services   2025-02-12 6.87   2025-02-13 13.0    89.23 
   MGOL                    MGO Global Inc    0.04   Textiles, Apparel & Luxury Goods   2025-02-12 0.46   2025-02-13 0.85    85.31 
   EDSA                 Edesa Biotech Inc    0.06                      Biotechnology   2025-02-12 1.86   2025-02-13 3.25    74.73 
   VIRX          Viracta Therapeutics Inc    0.00                      Biotechnology   2025-02-12 0.01   2025-02-13 0.02    69.00 
   SPAI                Safe Pro Group Inc    0.35                Aerospace & Defense   2025-02-12 2.57   2025-02-13 4.26    65.76 
   INLF                         INLIF Ltd    0.87                          Machinery   2025-02-12 5.99   2025-02-13 9.01    50.42 
    AUR             Aurora Innovation Inc  110.84                         Technology   2025-02-12 6.45   2025-02-13 9.42    46.05 
   GRAL                         Grail Inc   13.19                      Biotechnology  2025-02-12 39.26  2025-02-13 52.58    33.93 
   AVGR                       Avinger Inc    0.02                        Health Care   2025-02-12 0.46    2025-02-13 0.6    30.00 
   BROS                    Dutch Bros Inc   99.78      Hotels, Restaurants & Leisure  2025-02-12 64.71  2025-02-13 83.54    29.10 
   ENTA        Enanta Pharmaceuticals Inc    1.25                      Biotechnology   2025-02-12 5.86    2025-02-13 7.5    27.99 
   HIMS            Hims & Hers Health Inc  101.24                        Health Care  2025-02-12 46.34  2025-02-13 59.18    27.71 
   CDIO   Cardio Diagnostics Holdings Inc    0.28                      Biotechnology   2025-02-12 0.53   2025-02-13 0.68    27.07 
   CRSR                Corsair Gaming Inc   10.41                         Technology   2025-02-12 9.94  2025-02-13 12.51    25.86 
   GRRR      Gorilla Technology Group Inc    4.47                         Technology   2025-02-12 24.2  2025-02-13 30.34    25.37 

=== 市值超过20亿的涨幅榜前20名股票 ===

股票代码             公司名称            市值(亿)                板块                    昨天收盘            今天收盘      涨跌幅(%)
    AUR            Aurora Innovation Inc   110.84                        Technology    2025-02-12 6.45     2025-02-13 9.42    46.05 
   BROS                   Dutch Bros Inc    99.78     Hotels, Restaurants & Leisure   2025-02-12 64.71    2025-02-13 83.54    29.10 
   HIMS           Hims & Hers Health Inc   101.24                       Health Care   2025-02-12 46.34    2025-02-13 59.18    27.71 
    SOC              Sable Offshore Corp    21.80                            Energy   2025-02-12 24.47    2025-02-13 30.63    25.17 
    APP                    Applovin Corp  1276.32                        Technology  2025-02-12 380.32   2025-02-13 471.67    24.02 
   CROX                        Crocs Inc    51.77  Textiles, Apparel & Luxury Goods   2025-02-12 88.83   2025-02-13 110.05    23.89 
    MGM        MGM Resorts International   102.33     Hotels, Restaurants & Leisure   2025-02-12 34.37    2025-02-13 40.37    17.46 
   IRDM       Iridium Communications Inc    31.56                 Telecommunication   2025-02-12 27.72    2025-02-13 31.99    15.40 
  ADYYF                         Adyen NV   488.34                Financial Services  2025-02-12 1634.5  2025-02-13 1879.38    14.98 
   LMND                     Lemonade Inc    23.11                         Insurance   2025-02-12 32.36    2025-02-13 37.16    14.83 
   PLMR             Palomar Holdings Inc    28.85                         Insurance  2025-02-12 108.99   2025-02-13 125.04    14.73 
   HOOD            Robinhood Markets Inc   494.23                Financial Services   2025-02-12 55.91     2025-02-13 63.8    14.11 
   LCID                  Lucid Group Inc    86.44                       Automobiles    2025-02-12 2.87     2025-02-13 3.26    13.59 
    TEM                    Tempus AI Inc   116.32    Life Sciences Tools & Services   2025-02-12 73.88    2025-02-13 83.75    13.36 
   SMMT          Summit Therapeutics Inc   144.32                     Biotechnology   2025-02-12 19.57    2025-02-13 21.82    11.50 
   AEIS   Advanced Energy Industries Inc    41.88              Electrical Equipment  2025-02-12 111.17   2025-02-13 123.49    11.08 
    OGN                     Organon & Co    37.86                   Pharmaceuticals    2025-02-12 14.7    2025-02-13 16.32    11.02 
   PTON          Peloton Interactive Inc    35.80                  Leisure Products    2025-02-12 9.18    2025-02-13 10.15    10.57 
    IAC                          IAC Inc    37.43                             Media   2025-02-12 43.39    2025-02-13 47.97    10.56 
  KBCSF                     Kbc Groep NV   322.59                           Banking   2025-02-12 77.66     2025-02-13 85.7    10.35 

=== 市值超过50亿的涨幅榜前20名股票 ===

股票代码             公司名称            市值(亿)                板块                    昨天收盘            今天收盘      涨跌幅(%)
    AUR            Aurora Innovation Inc   110.84                        Technology    2025-02-12 6.45     2025-02-13 9.42    46.05 
   BROS                   Dutch Bros Inc    99.78     Hotels, Restaurants & Leisure   2025-02-12 64.71    2025-02-13 83.54    29.10 
   HIMS           Hims & Hers Health Inc   101.24                       Health Care   2025-02-12 46.34    2025-02-13 59.18    27.71 
    APP                    Applovin Corp  1276.32                        Technology  2025-02-12 380.32   2025-02-13 471.67    24.02 
   CROX                        Crocs Inc    51.77  Textiles, Apparel & Luxury Goods   2025-02-12 88.83   2025-02-13 110.05    23.89 
    MGM        MGM Resorts International   102.33     Hotels, Restaurants & Leisure   2025-02-12 34.37    2025-02-13 40.37    17.46 
  ADYYF                         Adyen NV   488.34                Financial Services  2025-02-12 1634.5  2025-02-13 1879.38    14.98 
   HOOD            Robinhood Markets Inc   494.23                Financial Services   2025-02-12 55.91     2025-02-13 63.8    14.11 
   LCID                  Lucid Group Inc    86.44                       Automobiles    2025-02-12 2.87     2025-02-13 3.26    13.59 
    TEM                    Tempus AI Inc   116.32    Life Sciences Tools & Services   2025-02-12 73.88    2025-02-13 83.75    13.36 
   SMMT          Summit Therapeutics Inc   144.32                     Biotechnology   2025-02-12 19.57    2025-02-13 21.82    11.50 
  KBCSF                     Kbc Groep NV   322.59                           Banking   2025-02-12 77.66     2025-02-13 85.7    10.35 
   LECO    Lincoln Electric Holdings Inc   109.47                         Machinery   2025-02-12 194.0   2025-02-13 213.81    10.21 
   ZETA        Zeta Global Holdings Corp    50.60                        Technology   2025-02-12 21.31    2025-02-13 23.39     9.76 
   NVMI                         Nova Ltd    71.86                    Semiconductors  2025-02-12 245.43    2025-02-13 269.0     9.60 
    TAP         Molson Coors Beverage Co   110.21                         Beverages   2025-02-12 53.45    2025-02-13 58.54     9.52 
    CZR        Caesars Entertainment Inc    75.64     Hotels, Restaurants & Leisure    2025-02-12 35.6    2025-02-13 38.87     9.19 
   SOUN                SoundHound AI Inc    54.97                        Technology   2025-02-12 13.97    2025-02-13 15.25     9.16 
   ASTS              AST SpaceMobile Inc    80.00                 Telecommunication   2025-02-12 27.61    2025-02-13 30.05     8.84 
   GEHC   GE Healthcare Technologies Inc   392.45                       Health Care    2025-02-12 85.9    2025-02-13 93.48     8.82 

=== 市值超过100亿的涨幅榜前20名股票 ===

股票代码              公司名称              市值(亿)               板块                   昨天收盘            今天收盘      涨跌幅(%)
    AUR               Aurora Innovation Inc   110.84                      Technology    2025-02-12 6.45     2025-02-13 9.42    46.05 
   HIMS              Hims & Hers Health Inc   101.24                     Health Care   2025-02-12 46.34    2025-02-13 59.18    27.71 
    APP                       Applovin Corp  1276.32                      Technology  2025-02-12 380.32   2025-02-13 471.67    24.02 
    MGM           MGM Resorts International   102.33   Hotels, Restaurants & Leisure   2025-02-12 34.37    2025-02-13 40.37    17.46 
  ADYYF                            Adyen NV   488.34              Financial Services  2025-02-12 1634.5  2025-02-13 1879.38    14.98 
   HOOD               Robinhood Markets Inc   494.23              Financial Services   2025-02-12 55.91     2025-02-13 63.8    14.11 
    TEM                       Tempus AI Inc   116.32  Life Sciences Tools & Services   2025-02-12 73.88    2025-02-13 83.75    13.36 
   SMMT             Summit Therapeutics Inc   144.32                   Biotechnology   2025-02-12 19.57    2025-02-13 21.82    11.50 
