
=== 涨幅榜前20名股票 ===

股票代码          公司名称          市值(亿)                板块                    昨天收盘          今天收盘     涨跌幅(%)
   MOND         Mondee Holdings Inc    0.00      Hotels, Restaurants & Leisure    2025-02-13 0.0    2025-02-14 0.0   900.00 
  DLAPQ           Delta Apparel Inc    0.00   Textiles, Apparel & Luxury Goods    2025-02-13 0.0    2025-02-14 0.0   400.00 
   DBGI    Digital Brands Group Inc    0.01                             Retail   2025-02-13 1.32    2025-02-14 3.3   150.00 
   JTAI                  Jet.AI Inc    0.12                           Airlines   2025-02-13 2.58   2025-02-14 6.03   133.72 
    SRM       SRM Entertainment Inc    0.06                   Leisure Products   2025-02-13 0.36    2025-02-14 0.7    95.53 
   INLF                   INLIF Ltd    2.37                          Machinery   2025-02-13 9.01  2025-02-14 16.33    81.24 
   MBRX       Moleculin Biotech Inc    0.09                      Biotechnology   2025-02-13 1.27   2025-02-14 2.18    71.65 
   LUXH         LuxUrban Hotels Inc    0.00                        Real Estate   2025-02-13 0.05   2025-02-14 0.08    51.92 
   SPGC      Sacks Parente Golf Inc    0.08                   Leisure Products    2025-02-13 0.6   2025-02-14 0.89    49.24 
   ALLO   Allogene Therapeutics Inc    4.28                      Biotechnology   2025-02-13 1.41   2025-02-14 2.04    44.68 
  LILMF                   Lilium NV    1.31                Aerospace & Defense   2025-02-13 0.15   2025-02-14 0.21    38.00 
   FTEL                 Fitell Corp    0.24                             Retail   2025-02-13 0.89   2025-02-14 1.21    35.80 
   HPCO             Hempacco Co Inc    0.00                            Tobacco    2025-02-13 0.0    2025-02-14 0.0    33.33 
   FORA                  Forian Inc    1.11                        Health Care   2025-02-13 2.76   2025-02-14 3.59    30.07 
   CNSP     CNS Pharmaceuticals Inc    0.08                    Pharmaceuticals   2025-02-13 0.11   2025-02-14 0.14    29.63 
  BRSHF        Bruush Oral Care Inc    0.00                  Consumer products    2025-02-13 0.0    2025-02-14 0.0    29.17 
   UDMY                   Udemy Inc   14.60      Diversified Consumer Services   2025-02-13 7.82  2025-02-14 10.01    28.01 
   TNYA     Tenaya Therapeutics Inc    0.95                      Biotechnology   2025-02-13 0.95    2025-02-14 1.2    26.72 
    TCX                  Tucows Inc    2.11                         Technology  2025-02-13 15.13  2025-02-14 19.15    26.57 
  NCNCF               noco-noco Inc    0.01               Electrical Equipment    2025-02-13 0.0    2025-02-14 0.0    25.00 

=== 市值超过20亿的涨幅榜前20名股票 ===

股票代码            公司名称            市值(亿)              板块                    昨天收盘           今天收盘      涨跌幅(%)
   RXRX   Recursion Pharmaceuticals Inc    41.15                  Biotechnology      2025-02-13 8.5   2025-02-14 10.53    23.88 
     GT       Goodyear Tire & Rubber Co    27.30                Auto Components     2025-02-13 8.17    2025-02-14 9.58    17.26 
   PCOR        Procore Technologies Inc   130.08                     Technology     2025-02-13 75.1    2025-02-14 87.5    16.51 
  APMSF                       Aperam SA    20.94                Metals & Mining    2025-02-13 26.34    2025-02-14 30.5    15.79 
   APLD            Applied Digital Corp    20.31                     Technology     2025-02-13 7.91    2025-02-14 9.11    15.17 
   DKNG                  Draftkings Inc   260.83  Hotels, Restaurants & Leisure    2025-02-13 46.45   2025-02-14 53.49    15.16 
   ABNB                      Airbnb Inc  1023.36  Hotels, Restaurants & Leisure   2025-02-13 141.04  2025-02-14 161.42    14.45 
   CRSP          CRISPR Therapeutics AG    42.65                  Biotechnology    2025-02-13 43.49   2025-02-14 49.72    14.33 
   ROKU                        Roku Inc   143.85                          Media     2025-02-13 86.8   2025-02-14 99.07    14.14 
