nohup: ignoring input
- FHELF: No data found for this date range, symbol may be delisted
- CAIB: No data found for this date range, symbol may be delisted
- JTCMF: No data found for this date range, symbol may be delisted
- BNYN: No data found for this date range, symbol may be delisted
- RBCRS: No data found for this date range, symbol may be delisted
- SATX: No data found for this date range, symbol may be delisted
- FTXP: No data found for this date range, symbol may be delisted
- PSRU: No data found for this date range, symbol may be delisted
- MLI: No data found for this date range, symbol may be delisted
- BPOSF: No data found for this date range, symbol may be delisted
- BSLAF: No data found for this date range, symbol may be delisted
- CRSTF: No data found for this date range, symbol may be delisted
- IVCTF: No data found for this date range, symbol may be delisted
- CDBMF: No data found for this date range, symbol may be delisted
- DCHCF: No data found for this date range, symbol may be delisted
- MAPPF: No data found for this date range, symbol may be delisted
- RLAY: No data found for this date range, symbol may be delisted
- MPU: No data found for this date range, symbol may be delisted
- TFIN: No data found for this date range, symbol may be delisted
- INCR: No data found for this date range, symbol may be delisted
- NDATF: No data found for this date range, symbol may be delisted
- URBT: No data found for this date range, symbol may be delisted
- MCDMF: No data found for this date range, symbol may be delisted
- VBIX: No data found for this date range, symbol may be delisted
- MSBN: No data found for this date range, symbol may be delisted
- MONTF: No data found for this date range, symbol may be delisted
- AGO: No data found for this date range, symbol may be delisted
- HRTG: No data found for this date range, symbol may be delisted
- KRRYF: No data found for this date range, symbol may be delisted
- ASCOF: No data found for this date range, symbol may be delisted
- ANCMF: No data found for this date range, symbol may be delisted
- AIFLF: No data found for this date range, symbol may be delisted
- SNAX: No data found for this date range, symbol may be delisted
- OSGBS: No data found for this date range, symbol may be delisted
- MDDCF: No data found for this date range, symbol may be delisted
- UNTN: No data found for this date range, symbol may be delisted
- DGLY: No data found for this date range, symbol may be delisted
- OZBKF: No data found for this date range, symbol may be delisted
- SBGOF: No data found for this date range, symbol may be delisted
- CAMG: No data found for this date range, symbol may be delisted
- CPADF: No data found for this date range, symbol may be delisted
- PRVA: No data found for this date range, symbol may be delisted
- IMG: No data found for this date range, symbol may be delisted
- GO: No data found for this date range, symbol may be delisted
- STCB: No data found for this date range, symbol may be delisted
- NPTLF: No data found for this date range, symbol may be delisted
- TMICF: No data found for this date range, symbol may be delisted
- RIOT: No data found for this date range, symbol may be delisted
- FPLF: No data found for this date range, symbol may be delisted
- RBMGS: No data found for this date range, symbol may be delisted
- COGT: No data found for this date range, symbol may be delisted
- ACRFF: No data found for this date range, symbol may be delisted
- GIS: No data found for this date range, symbol may be delisted
- ZAPP: No data found for this date range, symbol may be delisted
- LFDJF: No data found for this date range, symbol may be delisted
- RSGOF: No data found for this date range, symbol may be delisted
- FBSBF: No data found for this date range, symbol may be delisted
- CSBTF: No data found for this date range, symbol may be delisted
- NPRKF: No data found for this date range, symbol may be delisted
- YMATF: No data found for this date range, symbol may be delisted
- GOGR: No data found for this date range, symbol may be delisted
- MEG: No data found for this date range, symbol may be delisted
- ALKN: No data found for this date range, symbol may be delisted
- ARVEF: No data found for this date range, symbol may be delisted
- BUKS: No data found for this date range, symbol may be delisted
- ARHJS: No data found for this date range, symbol may be delisted
- LTH: No data found for this date range, symbol may be delisted
- CAGU: No data found for this date range, symbol may be delisted
- HENC: No data found for this date range, symbol may be delisted
- ALCUF: No data found for this date range, symbol may be delisted
- CNP: No data found for this date range, symbol may be delisted
- NPRRF: No data found for this date range, symbol may be delisted
- CIPI: No data found for this date range, symbol may be delisted
- REGN: No data found for this date range, symbol may be delisted
- TMSH: No data found for this date range, symbol may be delisted
- RANI: No data found for this date range, symbol may be delisted
- TMGEF: No data found for this date range, symbol may be delisted
- KFRC: No data found for this date range, symbol may be delisted
- HKXCF: No data found for this date range, symbol may be delisted
- SGAMF: No data found for this date range, symbol may be delisted
- CNQ: No data found for this date range, symbol may be delisted
- INLB: No data found for this date range, symbol may be delisted
- NMNZF: No data found for this date range, symbol may be delisted
- AGESF: No data found for this date range, symbol may be delisted
- AKZOF: No data found for this date range, symbol may be delisted
- BXRXQ: No data found for this date range, symbol may be delisted
- PIAGF: No data found for this date range, symbol may be delisted
- EESH: No data found for this date range, symbol may be delisted
- ANVI: No data found for this date range, symbol may be delisted
- TMEF: No data found for this date range, symbol may be delisted
- DIOSF: No data found for this date range, symbol may be delisted
- CROTF: No data found for this date range, symbol may be delisted
- SGSUF: No data found for this date range, symbol may be delisted
- RIDYF: No data found for this date range, symbol may be delisted
- VTON: No data found for this date range, symbol may be delisted
- SPGGF: No data found for this date range, symbol may be delisted
- DTMXF: No data found for this date range, symbol may be delisted
- ARPRF: No data found for this date range, symbol may be delisted
- BEN: No data found for this date range, symbol may be delisted
- SETUF: No data found for this date range, symbol may be delisted
- KRYAF: No data found for this date range, symbol may be delisted
- HGAS: No data found for this date range, symbol may be delisted
- FATE: No data found for this date range, symbol may be delisted
- NEFB: No data found for this date range, symbol may be delisted
- INOTF: No data found for this date range, symbol may be delisted
- MDSMF: No data found for this date range, symbol may be delisted
- ECGFF: No data found for this date range, symbol may be delisted
- NAUBF: No data found for this date range, symbol may be delisted
- CTNR: No data found for this date range, symbol may be delisted
- VTMLF: No data found for this date range, symbol may be delisted
- VYX: No data found for this date range, symbol may be delisted
- KSIH: No data found for this date range, symbol may be delisted
- KEGX: No data found for this date range, symbol may be delisted
- PERI: No data found for this date range, symbol may be delisted
- TDSGF: No data found for this date range, symbol may be delisted
- XANAF: No data found for this date range, symbol may be delisted
- CRXPF: No data found for this date range, symbol may be delisted
- RICOF: No data found for this date range, symbol may be delisted
- VREOF: No data found for this date range, symbol may be delisted
- IGEX: No data found for this date range, symbol may be delisted
- VTVT: No data found for this date range, symbol may be delisted
- APM: No data found for this date range, symbol may be delisted
- RPID: No data found for this date range, symbol may be delisted
- CSDX: No data found for this date range, symbol may be delisted
- XP: No data found for this date range, symbol may be delisted
- USLRF: No data found for this date range, symbol may be delisted
- CSCI: No data found for this date range, symbol may be delisted
- TLPFF: No data found for this date range, symbol may be delisted
- TKNO: No data found for this date range, symbol may be delisted
- PHLTF: No data found for this date range, symbol may be delisted
- GTCDF: No data found for this date range, symbol may be delisted
- BRDCF: No data found for this date range, symbol may be delisted
- HHSSF: No data found for this date range, symbol may be delisted
- BTTR: No data found for this date range, symbol may be delisted
- VASO: No data found for this date range, symbol may be delisted
- DVLT: No data found for this date range, symbol may be delisted
- BCEKF: No data found for this date range, symbol may be delisted
- ESGH: No data found for this date range, symbol may be delisted
- BDIMF: No data found for this date range, symbol may be delisted
- ESI: No data found for this date range, symbol may be delisted
- NROM: No data found for this date range, symbol may be delisted
- CARG: No data found for this date range, symbol may be delisted
- BFICQ: No data found for this date range, symbol may be delisted
- XTXXF: No data found for this date range, symbol may be delisted
- SSII: No data found for this date range, symbol may be delisted
- NSIGF: No data found for this date range, symbol may be delisted
- ATCV: No data found for this date range, symbol may be delisted
- CLEV: No data found for this date range, symbol may be delisted
- INDNF: No data found for this date range, symbol may be delisted
- GOLF: No data found for this date range, symbol may be delisted
- MBGPF: No data found for this date range, symbol may be delisted
- CXOXF: No data found for this date range, symbol may be delisted
- BLFS: No data found for this date range, symbol may be delisted
- ALKS: No data found for this date range, symbol may be delisted
- ATDS: No data found for this date range, symbol may be delisted
- AOGC: No data found for this date range, symbol may be delisted
- THTX: No data found for this date range, symbol may be delisted
- ORBN: No data found for this date range, symbol may be delisted
- PNPFF: No data found for this date range, symbol may be delisted
- TOALF: No data found for this date range, symbol may be delisted
- RSBES: No data found for this date range, symbol may be delisted
- CMTNF: No data found for this date range, symbol may be delisted
- SRSIF: No data found for this date range, symbol may be delisted
- PGTK: No data found for this date range, symbol may be delisted
- CHTH: No data found for this date range, symbol may be delisted
- VTMC: No data found for this date range, symbol may be delisted
- RSBDS: No data found for this date range, symbol may be delisted
- RNA: No data found for this date range, symbol may be delisted
- GZITF: No data found for this date range, symbol may be delisted
- PRCXF: No data found for this date range, symbol may be delisted
- CPPKF: No data found for this date range, symbol may be delisted
- MAXXF: No data found for this date range, symbol may be delisted
- AGFAF: No data found for this date range, symbol may be delisted
- SBBCF: No data found for this date range, symbol may be delisted
- DFHL: No data found for this date range, symbol may be delisted
- OCGN: No data found for this date range, symbol may be delisted
- NPTSF: No data found for this date range, symbol may be delisted
- BEPTF: No data found for this date range, symbol may be delisted
- AN: No data found for this date range, symbol may be delisted
- ACCR: No data found for this date range, symbol may be delisted
- TFBN: No data found for this date range, symbol may be delisted
- DCBO: No data found for this date range, symbol may be delisted
- TSYI: No data found for this date range, symbol may be delisted
- OPK: No data found for this date range, symbol may be delisted
- LMGR: No data found for this date range, symbol may be delisted
- ARQ: No data found for this date range, symbol may be delisted
- FGRRF: No data found for this date range, symbol may be delisted
- SPLTF: No data found for this date range, symbol may be delisted
- TDCB: No data found for this date range, symbol may be delisted
- BMBN: No data found for this date range, symbol may be delisted
- PGEZF: No data found for this date range, symbol may be delisted
- BKZHF: No data found for this date range, symbol may be delisted
- OHLDF: No data found for this date range, symbol may be delisted
- LRKKF: No data found for this date range, symbol may be delisted
- BTM: No data found for this date range, symbol may be delisted
- NNI: No data found for this date range, symbol may be delisted
- XNGIF: No data found for this date range, symbol may be delisted
- TONR: No data found for this date range, symbol may be delisted
- KSHOF: No data found for this date range, symbol may be delisted
- ALPE: No data found for this date range, symbol may be delisted
- INFIQ: No data found for this date range, symbol may be delisted
- XAARF: No data found for this date range, symbol may be delisted
- BALY: No data found for this date range, symbol may be delisted
- SPVNF: No data found for this date range, symbol may be delisted
- GZMDF: No data found for this date range, symbol may be delisted
- PNPNF: No data found for this date range, symbol may be delisted
- EXTR: No data found for this date range, symbol may be delisted
- NPRFF: No data found for this date range, symbol may be delisted
- SIMEF: No data found for this date range, symbol may be delisted
- IKTSF: No data found for this date range, symbol may be delisted
- DEER: No data found for this date range, symbol may be delisted
- PNYTF: No data found for this date range, symbol may be delisted
- PKIN: No data found for this date range, symbol may be delisted
- ONZBF: No data found for this date range, symbol may be delisted
- NSTM: No data found for this date range, symbol may be delisted
- LEMIF: No data found for this date range, symbol may be delisted
- VGREF: No data found for this date range, symbol may be delisted
- THYCF: No data found for this date range, symbol may be delisted
- EVLI: No data found for this date range, symbol may be delisted
- RGFSS: No data found for this date range, symbol may be delisted
- SPSC: No data found for this date range, symbol may be delisted
- BRGX: No data found for this date range, symbol may be delisted
- SPASF: No data found for this date range, symbol may be delisted
- CHBOF: No data found for this date range, symbol may be delisted
- SGCSF: No data found for this date range, symbol may be delisted
- AMOD: No data found for this date range, symbol may be delisted
- XCFT: No data found for this date range, symbol may be delisted
- SSPPF: No data found for this date range, symbol may be delisted
- RARJS: No data found for this date range, symbol may be delisted
- SIOMF: No data found for this date range, symbol may be delisted
- ASRMF: No data found for this date range, symbol may be delisted
- ASGLF: No data found for this date range, symbol may be delisted
- SDVI: No data found for this date range, symbol may be delisted
- RNKGF: No data found for this date range, symbol may be delisted
- AMBZ: No data found for this date range, symbol may be delisted
- HLTFF: No data found for this date range, symbol may be delisted
- HSHPF: No data found for this date range, symbol may be delisted
- FATBB: No data found for this date range, symbol may be delisted
- BBBT: No data found for this date range, symbol may be delisted
- BNSOF: No data found for this date range, symbol may be delisted
- BNKHF: No data found for this date range, symbol may be delisted
- SNTAF: No data found for this date range, symbol may be delisted
- DNDDF: No data found for this date range, symbol may be delisted
- DTPKF: No data found for this date range, symbol may be delisted
- EXHI: No data found for this date range, symbol may be delisted
- ACCLF: No data found for this date range, symbol may be delisted
- SSUMF: No data found for this date range, symbol may be delisted
- CBGL: No data found for this date range, symbol may be delisted
- IROH: No data found for this date range, symbol may be delisted
- ALLIF: No data found for this date range, symbol may be delisted
- VGTL: No data found for this date range, symbol may be delisted
- AMMPF: No data found for this date range, symbol may be delisted
- AIRG: No data found for this date range, symbol may be delisted
- DBCCF: No data found for this date range, symbol may be delisted
- BSNEF: No data found for this date range, symbol may be delisted
- EXFY: No data found for this date range, symbol may be delisted
- VMI: No data found for this date range, symbol may be delisted
- BOOLF: No data found for this date range, symbol may be delisted
- CSOL: No data found for this date range, symbol may be delisted
- BCG: No data found for this date range, symbol may be delisted
- MSM: No data found for this date range, symbol may be delisted
- VRA: No data found for this date range, symbol may be delisted
- HPSIF: No data found for this date range, symbol may be delisted
- DMIFF: No data found for this date range, symbol may be delisted
- RASP: No data found for this date range, symbol may be delisted
- CABPF: No data found for this date range, symbol may be delisted
- GBMIF: No data found for this date range, symbol may be delisted
- MLLOF: No data found for this date range, symbol may be delisted
- SPZI: No data found for this date range, symbol may be delisted
- BMMJ: No data found for this date range, symbol may be delisted
- ZONE: No data found for this date range, symbol may be delisted
- TGRHF: No data found for this date range, symbol may be delisted
- SKMTF: No data found for this date range, symbol may be delisted
- SAPMF: No data found for this date range, symbol may be delisted
- GNOLF: No data found for this date range, symbol may be delisted
- LCBGS: No data found for this date range, symbol may be delisted
- TTEC: No data found for this date range, symbol may be delisted
- TRUBF: No data found for this date range, symbol may be delisted
- BUENF: No data found for this date range, symbol may be delisted
- GALNF: No data found for this date range, symbol may be delisted
- ASCN: No data found for this date range, symbol may be delisted
- ESHDF: No data found for this date range, symbol may be delisted
- FGI: No data found for this date range, symbol may be delisted
- SUCEF: No data found for this date range, symbol may be delisted
- MRMRF: No data found for this date range, symbol may be delisted
- GTHKF: No data found for this date range, symbol may be delisted
- ABMC: No data found for this date range, symbol may be delisted
- NEXD: No data found for this date range, symbol may be delisted
- XEPRF: No data found for this date range, symbol may be delisted
- LFLS: No data found for this date range, symbol may be delisted
- YAAS: No data found for this date range, symbol may be delisted
- CFG: No data found for this date range, symbol may be delisted
- XRAPF: No data found for this date range, symbol may be delisted
- RSEYS: No data found for this date range, symbol may be delisted
- SKK: No data found for this date range, symbol may be delisted
- DKLRF: No data found for this date range, symbol may be delisted
- BKTLF: No data found for this date range, symbol may be delisted
- BRUZF: No data found for this date range, symbol may be delisted
- MNDO: No data found for this date range, symbol may be delisted
